StudentID,Semester,CGPA,MathScore,ProgrammingScore,DSAScore,ProjectScore
ST10027,4,6.04,65.5,56.88,65.68,54.22
ST10028,1,7.11,75.58,72.56,80.63,69.08
ST10028,2,9.64,95.56,96.15,95.83,99.92
ST10028,3,6.23,60.46,60.44,64.03,62.99
ST10028,4,6.38,75.09,77.98,48.89,77.93
ST10029,1,6.98,61.13,69.72,64.54,62.91
ST10029,2,8.38,71.45,90.71,87.97,79.21
ST10029,3,6.34,55.15,66.34,61.58,65.04
ST10029,4,7.08,70.7,77.19,65.99,72.95
ST10030,1,7.81,71.97,72.01,82.88,73.12
ST10030,2,6.69,67.2,60.91,60.17,58.27
ST10030,3,5.5,48.5,62.66,55.24,48.91
ST10030,4,7.39,70.68,80.14,75.19,70.44
ST10031,1,7.35,78.28,69.53,71.34,77.1
ST10031,2,6.92,64.74,76.92,72.49,74.36
ST10031,3,8.06,77.39,70.57,84.23,78.62
ST10031,4,8.58,77.7,96.73,82.45,85.91
ST10032,1,6.85,69.89,70.1,76.48,74.51
ST10032,2,6.58,68.14,51.31,53.94,58.07
ST10032,3,7.52,79.84,76.23,68.92,74.48
ST10032,4,10.0,90.68,94.93,100.0,98.39
ST10033,1,7.18,59.79,76.42,68.68,70.52
ST10033,2,7.43,74.49,65.23,71.13,78.77
ST10033,3,7.6,76.05,62.43,74.44,78.14
ST10033,4,7.81,66.71,81.55,77.85,83.92
ST10034,1,7.68,80.09,71.33,72.31,75.48
ST10034,2,7.26,66.67,75.43,79.97,73.86
ST10034,3,6.72,62.3,69.11,71.77,76.19
ST10034,4,7.01,69.51,70.93,80.37,77.32
ST10035,1,8.25,80.13,82.12,78.08,72.57
ST10035,2,9.64,100.0,96.17,95.76,100.0
ST10035,3,6.16,59.37,69.39,64.08,62.77
ST10035,4,7.42,62.66,75.82,82.41,78.56
ST10036,1,7.46,72.18,77.88,68.89,73.5
ST10036,2,7.49,69.17,90.17,74.7,72.15
ST10036,3,6.93,59.63,74.57,75.73,61.63
ST10036,4,7.38,53.87,72.64,70.49,76.76
ST10037,1,7.46,66.21,66.93,70.3,70.82
ST10037,2,7.28,63.11,69.24,66.33,71.03
ST10037,3,7.26,73.14,70.94,69.74,82.99
ST10037,4,7.35,78.03,75.33,73.52,71.61
ST10038,1,8.76,79.46,86.45,85.01,85.31
ST10038,2,8.73,84.85,92.07,87.99,94.06
ST10038,3,7.91,82.64,76.72,78.83,77.83
ST10038,4,6.54,71.54,65.13,64.63,57.55
ST10039,1,7.96,74.45,85.38,77.02,79.14
ST10039,2,6.67,58.35,71.51,75.9,69.33
ST10039,3,8.54,84.59,79.33,84.16,94.34
ST10039,4,6.35,49.06,78.85,62.21,70.09
ST10040,1,6.39,55.84,68.33,66.01,55.11
ST10040,2,7.57,69.01,81.01,90.74,70.35
ST10040,3,7.59,72.01,75.76,73.34,65.03
ST10040,4,7.73,72.38,79.76,75.89,75.6
ST10041,1,8.7,81.39,88.07,82.41,78.89
ST10041,2,6.43,53.22,77.24,68.04,67.0
ST10041,3,6.9,65.18,80.14,81.18,78.69
ST10041,4,5.85,57.14,62.96,63.09,51.36
ST10042,1,7.26,76.11,61.86,80.49,71.64
ST10042,2,6.53,67.31,57.79,70.35,69.07
ST10042,3,9.47,91.98,92.46,83.98,99.37
ST10042,4,7.54,73.35,66.07,75.48,78.97
ST10043,1,8.4,81.88,76.75,89.72,95.95
ST10043,2,8.73,83.97,88.75,82.8,88.44
ST10043,3,8.26,90.22,71.21,75.06,88.59
ST10043,4,6.52,63.22,71.22,74.67,71.84
ST10044,1,7.4,85.01,82.23,76.58,69.64
ST10044,2,7.96,69.03,82.48,85.66,81.72
ST10044,3,7.7,57.24,77.69,76.54,80.13
ST10044,4,6.57,65.57,70.72,71.21,63.44
ST10045,1,6.71,67.15,80.61,77.46,77.37
ST10045,2,8.17,73.65,77.79,84.68,76.72
ST10045,3,6.6,68.66,72.06,70.09,68.78
ST10045,4,8.47,76.97,82.49,77.18,91.97
ST10046,1,7.16,81.05,64.07,64.26,71.81
ST10046,2,8.05,78.93,81.97,78.49,82.87
ST10046,3,7.34,76.71,77.64,82.4,80.75
ST10046,4,7.99,58.89,81.59,86.15,94.69
ST10047,1,8.68,73.71,80.88,89.15,80.34
ST10047,2,7.49,71.56,74.18,77.44,72.0
ST10047,3,10.0,100.0,98.75,100.0,100.0
ST10047,4,7.64,68.36,75.67,89.55,81.2
ST10048,1,7.58,72.31,71.66,71.61,82.04
ST10048,2,7.29,58.97,74.31,75.88,74.14
ST10048,3,6.99,67.9,76.65,65.97,68.99
ST10048,4,5.06,53.11,48.96,70.2,56.09
ST10049,1,7.24,70.68,54.35,75.1,62.48
ST10049,2,7.26,95.85,77.54,62.32,74.48
ST10049,3,9.21,84.17,97.3,89.92,86.79
ST10049,4,7.69,77.15,79.56,78.32,76.07
ST10050,1,5.44,45.35,52.38,46.15,57.15
ST10050,2,7.5,85.77,68.19,72.26,76.29
ST10050,3,7.25,66.16,68.72,76.24,74.89
ST10050,4,6.1,57.94,57.15,53.93,58.41
ST10051,1,7.26,75.06,68.25,72.11,74.55
ST10051,2,5.92,75.23,58.34,53.16,58.52
ST10051,3,6.66,71.55,69.08,60.75,61.77
ST10051,4,6.68,63.82,76.66,53.33,68.45
ST10052,1,7.91,67.12,72.5,73.37,76.93
ST10052,2,7.41,82.48,62.58,68.98,62.6
ST10052,3,9.17,98.18,89.01,94.62,87.5
ST10052,4,6.1,55.62,64.11,65.94,67.39
ST10053,1,7.05,78.17,61.45,74.65,63.38
ST10053,2,8.33,85.21,73.81,93.98,81.05
ST10053,3,7.18,69.14,76.12,79.35,79.6
ST10053,4,7.24,77.54,62.56,63.74,78.44
ST10054,1,6.84,60.07,62.49,70.14,75.99
ST10054,2,7.86,70.85,75.37,77.59,79.17
ST10054,3,5.42,65.7,60.48,57.96,58.52
ST10054,4,8.15,79.76,91.35,78.86,77.38
ST10055,1,8.24,81.44,77.16,81.06,78.18
ST10055,2,6.71,61.96,62.96,72.01,71.42
ST10055,3,8.76,86.58,84.18,80.68,92.2
ST10055,4,6.47,67.97,60.92,62.65,69.45
ST10056,1,6.94,73.97,78.21,75.21,73.95
ST10056,2,6.92,64.81,64.89,59.56,72.79
ST10056,3,7.07,65.51,80.32,73.61,67.19
ST10056,4,7.4,66.14,71.97,71.92,71.74
ST10057,1,7.66,86.04,77.07,71.73,74.29
ST10057,2,5.27,63.61,54.29,66.01,57.84
ST10057,3,6.85,65.82,71.5,62.14,67.45
ST10057,4,7.16,70.09,71.33,82.18,74.03
ST10058,1,6.06,77.55,59.37,64.36,60.34
ST10058,2,9.03,91.99,83.25,80.03,84.08
ST10058,3,8.14,72.54,73.36,91.88,84.23
ST10058,4,8.39,77.74,93.95,83.24,88.78
ST10059,1,8.85,91.43,95.82,93.31,85.05
ST10059,2,8.8,85.76,83.72,81.77,92.12
ST10059,3,8.19,90.47,81.18,77.85,81.02
ST10059,4,9.34,98.44,91.06,90.56,82.42
ST10060,1,7.94,74.12,72.45,81.27,76.8
ST10060,2,6.01,52.59,60.48,59.04,81.69
ST10060,3,6.96,73.5,65.85,69.94,75.95
ST10060,4,7.49,79.58,70.31,66.59,74.27
ST10061,1,7.79,67.55,87.5,82.53,82.03
ST10061,2,7.59,64.86,72.65,75.91,69.57
ST10061,3,7.88,60.08,90.42,80.24,79.93
ST10061,4,8.18,74.33,91.26,87.21,84.64
ST10062,1,6.91,66.96,68.31,75.88,60.02
ST10062,2,8.22,82.07,77.7,81.03,80.26
ST10062,3,6.79,65.73,71.73,62.58,76.12
ST10062,4,8.19,93.8,84.47,88.84,81.76
ST10063,1,6.31,72.65,66.06,56.98,54.36
ST10063,2,9.89,93.88,100.0,100.0,94.57
ST10063,3,7.77,77.76,80.03,78.69,79.76
ST10063,4,8.18,87.31,86.74,82.41,73.11
ST10064,1,6.76,61.98,58.5,67.42,74.91
ST10064,2,6.47,63.83,74.03,70.86,61.4
ST10064,3,7.19,77.08,76.72,80.7,66.34
ST10064,4,6.71,70.38,67.57,78.02,71.61
ST10065,1,7.32,55.03,71.41,66.95,77.97
ST10065,2,8.57,89.89,83.41,82.4,83.62
ST10065,3,7.62,76.24,86.25,76.96,75.39
ST10065,4,7.07,62.11,70.31,74.13,79.69
ST10066,1,6.68,75.97,64.56,52.82,77.21
ST10066,2,6.61,66.97,74.28,59.73,78.44
ST10066,3,7.31,72.69,63.44,76.2,66.24
ST10066,4,6.3,70.69,56.98,64.06,59.56
ST10067,1,7.7,71.72,82.75,80.17,72.32
ST10067,2,5.44,65.61,49.67,66.46,48.1
ST10067,3,8.46,71.1,91.48,81.3,78.09
ST10067,4,6.86,56.87,64.54,66.13,67.28
ST10068,1,7.14,62.29,71.46,71.19,81.53
ST10068,2,7.65,62.93,90.55,70.29,68.64
ST10068,3,7.59,66.46,61.06,77.57,85.37
ST10068,4,6.83,71.5,74.49,66.0,71.44
ST10069,1,6.47,60.74,70.77,61.22,60.83
ST10069,2,9.31,100.0,83.15,90.79,93.15
ST10069,3,7.18,66.28,62.37,58.07,69.5
ST10069,4,7.65,73.32,78.08,77.16,80.83
ST10070,1,7.89,79.66,83.27,71.65,82.59
ST10070,2,4.98,48.62,50.74,60.27,45.79
ST10070,3,7.8,75.84,86.14,82.21,79.06
ST10070,4,9.34,96.8,89.54,97.24,95.14
ST10071,1,7.55,76.31,73.87,67.71,69.96
ST10071,2,6.6,63.54,66.76,67.34,71.87
ST10071,3,7.72,92.29,69.29,79.6,75.71
ST10071,4,8.2,78.56,76.4,77.59,81.95
ST10072,1,7.81,87.4,77.89,82.46,76.3
ST10072,2,8.19,87.0,85.47,75.21,80.86
ST10072,3,7.69,70.27,79.27,81.87,79.4
ST10072,4,8.38,84.99,85.46,77.71,77.17
ST10073,1,7.74,71.23,87.86,77.56,76.56
ST10073,2,8.26,70.52,74.92,77.73,86.7
ST10073,3,7.34,77.09,73.11,74.31,66.39
ST10073,4,8.36,86.76,87.26,85.7,66.53
ST10074,1,6.7,73.07,50.64,67.04,65.63
ST10074,2,8.86,91.32,95.33,97.6,89.58
ST10074,3,7.21,66.31,61.64,82.74,71.28
ST10074,4,6.83,71.8,82.3,66.08,68.98
ST10075,1,6.3,59.04,68.7,66.74,58.44
ST10075,2,5.4,44.75,63.75,60.36,56.1
ST10075,3,7.77,74.0,84.89,68.82,75.23
ST10075,4,7.43,66.56,73.37,75.54,81.59
ST10076,1,7.83,78.42,88.59,84.05,81.19
ST10076,2,7.28,78.94,76.23,61.6,72.77
ST10076,3,8.1,79.88,92.4,84.24,76.21
ST10076,4,6.45,68.43,60.98,66.97,69.54
ST10077,1,7.65,81.56,78.9,71.23,74.1
ST10077,2,8.25,79.09,83.25,86.85,76.41
ST10077,3,5.57,57.11,64.11,63.4,60.79
ST10077,4,6.56,57.32,69.98,70.31,75.11
ST10078,1,8.67,92.12,86.83,81.46,75.53
ST10078,2,8.49,78.26,81.65,91.97,84.74
ST10078,3,6.78,56.42,77.71,77.62,79.48
ST10078,4,8.06,77.45,90.96,79.87,76.69
ST10079,1,7.38,76.69,75.82,78.47,66.55
ST10079,2,5.58,64.47,54.14,62.99,48.76
ST10079,3,7.23,72.7,76.14,70.69,69.89
ST10079,4,7.67,74.7,80.49,78.28,77.93
ST10080,1,7.15,65.34,78.6,71.34,74.59
ST10080,2,7.8,84.87,84.32,80.98,75.31
ST10080,3,6.85,73.68,59.06,70.19,64.89
ST10080,4,4.77,47.64,48.19,46.47,53.98
ST10081,1,5.38,51.88,58.95,49.84,65.65
ST10081,2,5.2,58.41,48.27,55.2,40.32
ST10081,3,7.09,54.83,69.82,83.57,69.87
ST10081,4,8.33,78.12,86.35,87.4,85.47
ST10082,1,8.1,76.01,79.37,83.1,85.97
ST10082,2,5.81,47.69,63.58,52.74,51.7
ST10082,3,5.83,50.21,69.33,58.92,51.31
ST10082,4,7.94,75.84,83.44,82.99,77.03
ST10083,1,6.99,47.47,78.72,76.02,74.99
ST10083,2,7.57,76.45,72.87,80.43,68.18
ST10083,3,6.55,66.32,58.39,62.15,69.0
ST10083,4,8.46,80.27,84.83,79.04,85.05
ST10084,1,8.37,89.38,86.85,84.35,84.73
ST10084,2,6.43,67.36,63.16,63.64,66.61
ST10084,3,5.46,45.34,52.56,51.07,58.02
ST10084,4,5.1,47.35,48.59,48.54,61.9
ST10085,1,6.45,58.68,53.33,71.8,70.71
ST10085,2,8.35,84.89,74.44,62.47,97.41
ST10085,3,7.39,65.28,68.66,77.75,77.95
ST10085,4,8.06,77.04,99.92,83.35,83.45
ST10086,1,6.46,64.12,60.19,59.38,61.12
ST10086,2,6.91,71.09,69.94,67.71,77.95
ST10086,3,6.18,57.68,61.29,54.0,63.56
ST10086,4,7.52,71.66,73.98,78.58,77.97
ST10087,1,7.68,71.71,74.74,65.46,84.19
ST10087,2,8.3,81.04,90.83,85.1,78.95
ST10087,3,8.18,73.01,87.18,80.46,79.16
ST10087,4,5.19,47.02,49.08,57.81,55.51
ST10088,1,6.74,67.57,75.63,67.75,72.2
ST10088,2,8.04,72.89,79.86,85.08,74.07
ST10088,3,7.65,81.64,67.45,67.68,69.63
ST10088,4,6.2,65.22,65.46,58.69,60.73
ST10089,1,6.65,66.82,63.39,75.59,72.04
ST10089,2,4.96,49.87,43.04,61.26,47.26
ST10089,3,7.5,78.02,74.05,61.96,77.52
ST10089,4,7.51,78.53,74.52,79.09,75.26
ST10090,1,7.01,60.75,81.86,62.34,75.01
ST10090,2,7.02,82.16,73.44,70.17,65.13
ST10090,3,7.02,80.6,57.47,67.74,72.09
ST10090,4,5.95,55.17,53.08,54.77,68.09
ST10091,1,6.44,66.87,65.12,66.38,71.37
ST10091,2,6.53,65.16,60.6,65.72,70.82
ST10091,3,7.1,81.43,72.56,67.63,60.16
ST10091,4,9.65,87.73,95.27,94.29,92.15
ST10092,1,4.95,46.01,58.62,37.91,48.31
ST10092,2,5.5,44.48,57.25,68.19,58.16
ST10092,3,7.69,77.67,74.39,69.77,88.08
ST10092,4,7.81,80.5,68.14,70.5,89.1
ST10093,1,6.96,71.1,71.87,65.62,75.16
ST10093,2,7.06,64.84,71.63,68.12,80.9
ST10093,3,7.25,65.15,68.18,75.14,65.52
ST10093,4,8.75,91.25,86.19,79.86,83.09
ST10094,1,5.16,55.41,59.76,49.24,53.38
ST10094,2,6.95,70.02,74.36,71.46,80.79
ST10094,3,8.86,76.86,91.69,86.68,88.04
ST10094,4,7.12,68.64,81.28,66.47,64.21
ST10095,1,8.06,80.26,81.77,70.85,84.49
ST10095,2,8.55,90.71,82.0,90.76,74.69
ST10095,3,6.68,61.55,69.55,71.7,63.9
ST10095,4,6.22,51.09,58.7,67.52,66.13
ST10096,1,5.34,45.87,48.0,61.1,52.96
ST10096,2,8.51,87.79,76.07,73.65,91.27
ST10096,3,7.45,74.51,65.2,65.04,76.36
ST10096,4,7.49,69.52,65.98,83.87,77.2
ST10097,1,9.84,88.67,100.0,97.99,96.16
ST10097,2,7.57,70.28,80.77,72.94,73.79
ST10097,3,8.12,70.69,80.3,80.6,84.03
ST10097,4,7.83,79.26,87.95,79.55,71.03
ST10098,1,7.74,76.45,86.2,80.49,70.85
ST10098,2,8.16,79.25,86.78,86.41,81.95
ST10098,3,8.05,73.31,84.09,84.45,67.07
ST10098,4,7.1,62.47,65.9,73.68,74.57
ST10099,1,8.02,78.66,75.01,87.9,77.62
ST10099,2,5.34,42.77,59.28,52.09,46.1
ST10099,3,6.72,51.76,76.38,66.03,60.01
ST10099,4,7.81,71.95,70.7,74.24,78.15
ST10100,1,6.36,68.22,64.77,69.33,63.62
ST10100,2,7.22,68.13,78.19,78.6,75.06
ST10100,3,7.53,72.4,89.08,74.67,72.92
ST10100,4,6.82,62.14,66.92,69.56,73.41
ST10101,1,6.89,60.88,64.02,58.96,75.82
ST10101,2,6.45,48.97,62.81,62.68,64.92
ST10101,3,6.2,60.68,52.35,65.9,65.08
ST10101,4,7.57,82.09,64.62,81.24,75.53
ST10102,1,5.99,54.25,62.26,62.55,64.44
ST10102,2,7.65,74.43,75.55,80.53,80.0
ST10102,3,7.64,57.44,77.82,71.5,82.18
ST10102,4,6.08,58.92,65.53,59.56,61.84
ST10103,1,5.97,56.34,63.71,62.58,64.76
ST10103,2,8.38,78.5,89.26,78.92,82.82
ST10103,3,7.73,62.1,79.47,78.17,78.97
ST10103,4,7.49,60.9,67.56,70.78,71.81
ST10104,1,6.63,67.19,52.47,64.27,63.75
ST10104,2,6.12,68.65,61.46,52.37,71.57
ST10104,3,6.03,64.19,70.52,61.79,67.66
ST10104,4,7.16,79.97,65.03,66.41,65.32
ST10105,1,7.32,69.59,65.25,72.74,73.63
ST10105,2,7.12,60.91,62.4,59.09,87.38
ST10105,3,5.68,60.32,47.23,59.86,62.78
ST10105,4,6.34,53.21,71.04,69.35,70.37
ST10106,1,8.15,69.56,91.68,78.59,80.28
ST10106,2,7.67,66.28,82.24,89.48,80.04
ST10106,3,8.08,73.49,75.96,78.47,84.41
ST10106,4,5.65,48.73,62.82,58.99,59.24
ST10107,1,9.93,90.31,97.3,84.62,100.0
ST10107,2,5.59,56.87,40.98,67.24,51.93
ST10107,3,4.53,50.11,43.67,45.94,40.56
ST10107,4,6.01,57.89,62.53,54.48,57.77
ST10108,1,7.85,68.44,82.41,83.78,79.79
ST10108,2,10.0,100.0,95.65,100.0,100.0
ST10108,3,7.93,82.29,80.67,78.46,83.3
ST10108,4,5.92,56.36,60.79,57.81,67.23
ST10109,1,6.77,53.84,69.98,75.51,68.93
ST10109,2,7.52,86.34,78.56,68.86,81.19
ST10109,3,6.44,48.32,62.46,59.52,72.14
ST10109,4,7.78,76.47,68.55,75.1,83.11
ST10110,1,7.03,72.85,63.23,65.86,69.89
ST10110,2,7.75,64.81,80.71,73.71,82.26
ST10110,3,6.8,68.81,62.21,67.65,69.75
ST10110,4,9.13,93.59,94.5,88.33,83.8
ST10111,1,8.49,83.53,92.0,88.85,84.56
ST10111,2,7.26,72.61,64.27,71.37,63.85
ST10111,3,8.14,81.09,85.26,76.82,71.56
ST10111,4,7.07,65.45,79.48,70.84,78.3
ST10112,1,7.5,66.0,65.06,80.57,80.95
ST10112,2,5.69,59.26,67.11,64.86,59.98
ST10112,3,7.13,71.65,62.54,74.16,80.57
ST10112,4,6.6,68.92,71.83,69.05,72.52
ST10113,1,7.94,75.86,85.63,77.48,80.33
ST10113,2,8.24,64.15,85.5,83.75,80.07
ST10113,3,8.63,81.03,84.32,88.93,78.36
ST10113,4,8.04,82.39,76.57,74.69,69.54
ST10114,1,7.69,60.3,73.0,81.84,81.75
ST10114,2,7.19,60.54,69.69,78.85,60.72
ST10114,3,9.39,99.02,94.64,99.68,88.17
ST10114,4,8.82,76.15,95.73,90.12,97.23
ST10115,1,7.58,72.63,73.36,79.42,72.14
ST10115,2,6.76,68.36,78.23,62.79,74.88
ST10115,3,8.07,84.87,77.84,87.64,74.07
ST10115,4,7.1,63.95,72.0,75.24,65.48
ST10116,1,8.14,71.87,77.27,85.77,80.81
ST10116,2,6.99,68.29,76.94,72.08,71.43
ST10116,3,6.73,66.24,65.49,70.78,69.7
ST10116,4,6.83,64.83,76.78,78.75,65.16
ST10117,1,6.15,56.06,62.66,59.74,65.39
ST10117,2,7.08,69.46,72.05,73.06,78.76
ST10117,3,8.16,77.84,63.23,73.21,79.83
ST10117,4,6.66,61.06,66.47,72.83,76.01
ST10118,1,8.21,74.7,81.41,83.57,92.59
ST10118,2,8.86,90.91,97.4,95.74,93.69
ST10118,3,7.4,57.37,76.44,71.97,69.9
ST10118,4,8.09,79.9,87.16,92.23,75.25
ST10119,1,9.54,83.53,89.26,89.41,100.0
ST10119,2,9.07,81.57,96.39,98.67,100.0
ST10119,3,6.93,66.31,71.68,74.22,71.52
ST10119,4,6.81,66.06,73.68,63.99,74.83
ST10120,1,6.83,64.18,66.67,73.72,62.63
ST10120,2,5.91,56.82,67.38,66.02,56.95
ST10120,3,7.53,78.56,86.49,77.16,65.83
ST10120,4,6.93,65.01,70.14,70.01,74.44
ST10121,1,4.0,50.82,32.77,43.37,34.13
ST10121,2,6.17,67.42,74.46,62.04,68.59
ST10121,3,8.73,100.0,79.19,81.24,68.18
ST10121,4,6.77,64.16,69.14,66.81,66.71
ST10122,1,5.96,46.92,63.58,57.75,55.13
ST10122,2,7.53,69.95,71.44,65.99,71.76
ST10122,3,7.59,77.32,76.59,73.73,66.93
ST10122,4,7.22,69.82,72.73,73.51,70.36
ST10123,1,9.21,82.59,95.71,95.13,83.45
ST10123,2,7.91,77.15,91.12,80.74,71.92
ST10123,3,8.01,78.63,82.63,88.17,84.91
ST10123,4,7.14,59.44,60.9,74.92,81.09
ST10124,1,8.02,86.9,85.31,68.02,83.26
ST10124,2,7.37,77.1,73.61,75.58,81.18
ST10124,3,8.02,78.24,80.42,84.7,74.31
ST10124,4,5.43,64.79,50.4,41.3,59.35
ST10125,1,9.01,84.04,83.41,90.35,87.22
ST10125,2,7.73,70.6,83.77,74.05,79.59
ST10125,3,6.74,62.91,75.76,71.28,62.13
ST10125,4,6.2,51.79,65.87,66.77,65.49
ST10126,1,5.27,64.14,51.62,53.85,57.26
ST10126,2,8.05,71.56,72.12,85.27,77.3
ST10126,3,4.89,64.4,55.14,59.21,51.01
ST10126,4,7.3,62.25,73.25,76.49,66.02
ST10127,1,5.18,54.45,48.58,52.64,51.24
ST10127,2,4.52,38.24,40.51,48.29,48.47
ST10127,3,6.7,65.13,67.77,59.84,73.24
ST10127,4,6.37,49.79,65.7,69.14,74.09
ST10128,1,7.33,69.29,85.24,72.4,75.52
ST10128,2,8.62,88.78,88.07,89.57,83.14
ST10128,3,7.37,69.47,76.51,77.71,67.09
ST10128,4,9.55,92.4,92.64,93.68,82.93
ST10129,1,8.03,84.75,83.45,66.89,79.67
ST10129,2,6.87,73.32,70.6,80.74,63.54
ST10129,3,6.9,76.67,70.31,67.75,59.43
