StudentID,PythonScore,JavaScore,DSAScore,MLScore,WebDevScore,CommunicationScore
ST10129,66.88,57.04,72.69,61.0,54.96,62.61
ST10130,57.79,62.39,69.54,68.42,62.66,85.4
ST10131,47.98,35.93,60.07,53.82,51.21,48.64
ST10132,68.19,74.77,66.85,50.67,40.26,65.51
ST10133,48.04,55.13,50.45,47.0,49.8,53.53
ST10134,60.03,58.41,45.15,43.17,56.85,65.24
ST10135,62.13,45.81,62.75,36.85,52.21,60.73
ST10136,39.65,73.02,67.89,61.1,48.56,58.73
ST10137,74.21,53.49,65.21,76.93,50.52,67.13
ST10138,57.4,53.38,61.4,73.01,55.32,63.94
ST10139,62.87,61.96,76.43,55.47,71.99,64.67
ST10140,48.9,43.76,45.33,45.85,52.3,61.33
ST10141,53.64,54.18,56.37,59.34,61.2,47.95
ST10142,53.15,65.23,45.88,55.08,54.04,53.88
ST10143,74.81,58.56,72.84,67.3,61.95,55.65
ST10144,62.29,67.12,69.25,68.04,67.89,52.56
ST10145,55.79,65.38,47.72,60.77,59.65,65.23
ST10146,58.52,48.96,50.64,48.42,58.67,34.19
ST10147,60.88,51.6,61.11,59.53,47.14,54.96
ST10148,65.97,63.49,64.02,52.11,56.4,50.85
ST10149,56.16,50.81,52.32,35.38,51.46,59.8
ST10150,39.35,49.8,42.52,49.3,46.88,60.13
ST10151,54.26,60.11,52.7,52.78,48.17,41.25
ST10152,55.94,59.21,55.91,49.44,41.47,61.39
ST10153,59.56,71.12,46.69,61.69,59.32,55.19
ST10154,72.79,65.1,55.39,59.82,54.29,61.13
ST10155,54.84,57.13,51.98,41.46,52.27,58.0
ST10156,30.07,46.78,45.32,53.43,48.93,52.72
ST10157,49.57,50.96,59.55,49.43,53.17,37.66
ST10158,56.88,41.34,54.3,57.0,63.57,52.44
ST10159,58.71,64.38,51.61,40.72,57.13,43.56
ST10160,58.35,63.65,73.4,59.26,50.37,54.75
ST10161,56.17,71.54,56.29,53.9,70.32,61.62
ST10162,55.77,40.53,45.16,37.55,53.48,55.67
ST10163,51.51,53.4,54.75,41.39,50.92,65.5
ST10164,51.66,59.41,49.2,56.37,54.16,51.89
ST10165,65.6,66.05,52.52,56.33,59.63,47.76
ST10166,50.38,71.84,54.03,71.88,50.79,69.82
ST10167,51.32,50.3,66.49,40.46,56.66,54.92
ST10168,77.84,42.38,46.99,57.34,49.4,50.3
ST10169,64.54,54.75,50.75,62.42,59.88,57.38
ST10170,53.27,48.84,62.96,51.92,50.0,48.87
ST10171,64.0,50.58,44.56,56.43,52.78,55.0
ST10172,64.36,55.76,52.49,62.57,68.29,69.11
ST10173,62.26,61.55,65.88,46.55,57.9,51.68
ST10174,42.45,50.74,56.8,45.62,60.71,48.86
ST10175,53.26,49.09,65.83,56.73,62.43,34.44
ST10176,64.44,57.15,52.97,59.23,69.37,77.86
ST10177,59.69,52.08,52.6,65.42,49.78,65.73
ST10178,67.05,59.75,51.31,65.14,46.62,55.58
ST10179,62.81,65.32,58.19,49.34,68.18,53.81
ST10180,42.79,53.62,53.94,43.4,50.44,51.28
ST10181,62.76,58.21,55.0,66.7,54.68,52.77
ST10182,55.08,56.26,46.48,50.31,57.56,49.24
ST10183,52.76,71.79,49.19,51.03,50.26,53.16
ST10184,48.14,52.71,49.91,63.15,55.31,49.63
ST10185,74.92,55.21,55.93,71.86,78.14,50.26
ST10186,43.61,60.28,50.12,58.77,47.56,58.4
ST10187,64.78,41.26,60.01,55.94,38.91,58.29
ST10188,55.71,53.84,57.56,49.4,54.69,54.13
ST10189,74.03,50.33,75.59,64.62,68.65,65.19
ST10190,53.39,64.06,55.74,67.91,56.38,47.4
ST10191,78.39,66.92,73.72,57.84,53.41,78.05
ST10192,52.23,56.21,58.54,48.27,54.09,68.04
ST10193,57.05,64.84,42.38,66.42,45.13,68.38
ST10194,67.53,57.42,61.49,65.67,51.62,58.54
ST10195,64.84,57.59,41.2,48.58,47.94,49.03
ST10196,47.78,55.93,60.73,45.13,67.49,63.98
ST10197,64.81,44.67,61.34,65.22,58.63,69.25
ST10198,58.44,68.88,59.34,59.76,71.69,61.14
ST10199,57.15,58.92,64.78,56.12,60.27,50.79
ST10200,46.56,57.1,59.33,59.57,53.32,44.63
ST10201,60.53,72.67,62.62,60.75,64.1,59.33
ST10202,48.24,46.81,65.99,58.9,63.77,68.38
ST10203,29.32,50.86,44.43,57.17,42.18,42.68
ST10204,47.7,46.89,59.71,59.84,39.69,68.53
ST10205,54.94,55.97,61.03,33.98,42.46,59.33
ST10206,52.27,56.56,59.13,46.26,55.87,69.07
ST10207,73.8,74.49,75.76,68.94,69.98,67.72
ST10208,48.35,36.87,44.29,52.16,39.87,50.43
ST10209,59.28,58.04,60.33,64.44,56.81,62.94
ST10210,68.52,70.81,76.2,66.52,64.63,62.68
ST10211,44.0,43.73,55.98,38.09,60.68,49.55
ST10212,70.09,41.65,50.2,43.03,40.85,58.71
ST10213,54.8,55.8,66.64,65.49,51.79,64.19
ST10214,63.9,54.57,57.47,43.73,74.02,68.12
ST10215,47.4,64.1,54.12,64.95,53.74,57.81
ST10216,46.1,43.15,60.6,55.49,49.28,59.6
ST10217,37.78,40.97,55.59,56.41,53.03,38.73
ST10218,41.64,53.47,70.55,60.1,62.75,55.85
ST10219,63.86,46.6,65.53,63.43,60.41,57.11
ST10220,59.93,55.36,59.55,62.98,48.11,43.03
ST10221,57.83,65.95,68.97,42.41,51.2,45.59
ST10222,59.05,64.34,59.27,62.11,59.72,51.0
ST10223,60.65,47.55,46.68,51.19,55.07,59.26
ST10224,53.29,60.36,55.47,46.87,48.32,42.98
ST10225,50.51,65.37,63.1,44.28,42.48,50.55
ST10226,59.21,54.45,69.09,62.59,70.32,45.43
ST10227,58.76,64.7,67.13,55.51,67.21,64.7
ST10228,53.32,61.3,65.41,52.28,72.33,55.09
ST10229,54.27,43.12,54.95,42.52,50.77,43.43
ST10230,55.63,52.09,58.94,45.11,58.31,52.55
ST10231,58.82,68.05,51.75,67.51,54.98,48.57
ST10232,48.92,48.9,66.04,69.0,57.77,56.28
ST10233,58.98,53.36,62.57,54.39,53.85,50.18
ST10234,48.04,30.33,66.48,53.29,52.4,42.99
ST10235,42.36,41.31,42.12,49.48,48.46,39.59
ST10236,57.36,55.34,79.11,75.38,59.47,47.63
ST10237,63.82,61.25,65.14,65.85,65.09,50.99
ST10238,61.37,59.43,51.53,63.4,48.18,70.57
ST10239,38.1,57.96,36.35,63.85,39.58,53.23
ST10240,40.86,43.09,62.07,62.15,55.81,62.82
ST10241,74.41,60.31,57.31,63.99,62.06,67.21
ST10242,65.74,55.9,67.99,66.24,67.14,61.09
ST10243,57.18,55.1,57.07,65.04,53.57,49.09
ST10244,44.16,62.06,56.9,67.07,36.8,63.33
ST10245,51.53,50.79,48.5,60.71,58.52,47.48
ST10246,54.33,51.99,51.58,61.98,44.02,30.3
ST10247,66.0,63.95,66.87,70.54,50.02,59.78
ST10248,41.85,39.57,49.65,54.55,51.64,46.73
ST10249,56.86,65.47,64.49,52.05,53.09,47.3
ST10250,62.71,44.4,76.75,62.15,67.15,74.83
ST10251,56.04,51.82,45.27,47.49,64.75,54.33
ST10252,57.31,67.58,63.66,54.76,58.82,53.94
ST10253,54.15,56.99,64.1,46.41,59.25,58.52
ST10254,48.94,53.07,38.57,48.33,47.35,56.91
ST10255,49.21,64.5,71.53,61.23,67.66,58.07
ST10256,48.42,60.87,67.3,47.94,57.14,61.88
ST10257,81.41,60.39,44.36,38.22,64.44,81.48
ST10258,63.06,60.64,68.04,55.64,46.21,70.32
ST10259,42.68,55.99,42.5,47.68,54.42,59.15
ST10260,56.48,54.14,59.19,55.57,44.82,41.68
ST10261,46.46,69.46,61.16,69.71,66.56,58.31
ST10262,56.5,53.83,53.59,64.7,77.55,69.4
ST10263,52.45,59.46,64.63,38.5,60.22,55.8
ST10264,69.53,66.53,59.21,77.32,62.74,59.55
ST10265,51.65,55.38,49.36,50.14,48.31,45.32
ST10266,52.28,47.63,72.0,55.84,31.43,65.03
ST10267,65.47,47.78,57.02,52.83,56.65,69.54
ST10268,55.96,52.01,64.86,57.96,43.81,49.07
ST10269,47.32,37.27,61.98,44.76,38.72,38.76
ST10270,61.3,43.55,55.39,50.82,49.29,45.64
ST10271,51.61,47.77,63.34,48.72,52.99,56.38
ST10272,65.2,59.43,59.63,37.11,47.05,64.81
ST10273,43.42,53.46,45.27,43.11,66.24,61.54
ST10274,75.65,69.02,65.77,67.6,59.53,63.21
ST10275,64.59,39.69,46.95,41.16,58.83,68.21
ST10276,53.48,47.75,49.26,56.25,50.81,50.03
ST10277,64.68,64.62,48.75,58.21,62.33,61.52
ST10278,55.15,57.8,51.76,39.54,64.38,50.44
ST10279,54.97,48.85,67.2,52.45,52.92,59.08
ST10280,66.01,52.0,46.73,54.02,36.17,52.13
ST10281,77.62,62.76,64.41,60.82,59.89,63.17
ST10282,65.75,51.44,40.66,65.89,71.16,53.09
ST10283,52.51,69.7,79.23,68.04,78.07,73.63
ST10284,59.63,49.06,56.68,51.45,53.24,49.65
ST10285,60.06,41.33,61.39,55.44,49.7,56.35
ST10286,47.25,38.94,52.61,40.79,60.37,48.44
ST10287,73.07,60.63,63.08,43.83,62.68,59.03
ST10288,57.04,58.53,59.05,65.54,58.04,56.07
ST10289,51.62,48.96,54.43,43.89,41.13,46.98
ST10290,59.49,55.6,58.66,58.5,44.22,53.32
ST10291,55.32,59.99,53.4,54.55,55.29,61.97
ST10292,75.28,69.34,71.55,69.49,81.21,53.85
ST10293,51.47,64.62,62.38,60.59,64.57,63.94
ST10294,42.11,51.62,47.76,41.56,52.11,54.8
ST10295,63.41,75.43,73.31,69.71,82.23,63.52
ST10296,54.19,56.86,52.21,59.05,42.09,56.83
ST10297,38.88,49.87,51.52,45.72,36.59,39.53
ST10298,58.67,60.46,62.17,65.05,49.07,60.88
ST10299,40.53,35.75,53.97,49.0,63.02,59.18
ST10300,70.75,49.46,61.25,61.33,64.9,54.21
ST10301,64.56,49.04,55.67,54.91,66.42,38.0
ST10302,46.36,46.09,33.41,43.84,36.7,33.38
ST10303,62.64,60.4,62.76,63.5,57.32,75.8
ST10304,59.04,62.53,44.48,56.23,57.73,52.43
ST10305,44.76,37.4,57.41,54.49,52.98,45.31
ST10306,50.89,59.37,50.27,52.03,69.89,47.99
ST10307,66.41,67.3,65.06,66.74,51.64,52.18
ST10308,39.4,57.68,55.17,50.11,57.23,60.89
ST10309,53.15,71.14,65.08,65.3,57.41,65.33
ST10310,44.7,57.19,51.23,41.66,51.68,52.52
ST10311,67.37,52.27,62.42,57.97,49.09,48.24
ST10312,50.0,54.09,66.83,56.77,63.82,42.94
ST10313,57.19,62.33,40.35,55.9,64.31,70.0
ST10314,48.62,55.6,62.15,52.35,60.14,48.85
ST10315,62.38,53.27,58.47,60.09,53.74,54.83
ST10316,55.92,62.97,36.25,63.41,47.78,55.32
ST10317,67.93,68.75,54.7,55.0,58.42,53.94
ST10318,79.13,63.6,56.88,69.42,51.59,64.39
ST10319,70.79,59.5,63.26,60.89,66.07,67.21
ST10320,64.06,72.2,59.28,61.3,46.3,52.38
ST10321,68.14,60.91,66.28,66.17,65.5,87.84
ST10322,55.66,64.08,62.52,43.96,51.34,45.6
ST10323,50.64,44.13,49.4,54.17,54.6,56.96
ST10324,52.66,60.02,52.08,64.66,38.35,61.39
ST10325,58.85,48.71,52.94,56.15,60.84,38.44
ST10326,69.42,59.82,72.9,47.31,81.14,54.93
ST10327,78.39,62.26,61.08,73.4,71.04,52.39
ST10328,61.77,54.77,60.9,53.95,51.85,44.95
ST10329,71.35,69.31,71.27,67.06,72.25,74.89
ST10330,51.16,36.68,71.44,56.37,46.73,55.12
ST10331,47.97,47.84,48.26,58.49,53.13,50.14
ST10332,49.31,51.88,59.38,61.9,49.54,63.67
ST10333,67.5,50.63,51.4,54.29,72.04,59.48
ST10334,60.19,62.71,54.68,67.21,59.85,67.74
ST10335,62.61,55.02,45.21,56.24,50.08,49.37
ST10336,55.32,43.69,49.25,52.84,32.73,65.6
ST10337,57.31,69.72,71.11,59.57,72.92,69.86
ST10338,61.16,58.37,71.0,62.18,69.64,41.21
ST10339,51.13,37.73,51.14,55.77,64.26,45.84
ST10340,56.05,57.06,52.9,64.56,58.24,57.7
ST10341,66.71,61.17,56.21,60.18,54.9,65.61
ST10342,55.59,38.22,36.36,47.06,41.48,50.87
ST10343,45.04,25.33,49.0,30.95,42.3,40.21
ST10344,43.31,61.28,51.28,54.87,48.93,55.69
ST10345,62.57,61.27,69.09,59.64,77.51,69.92
ST10346,56.7,61.44,67.46,62.03,68.48,68.05
ST10347,43.1,64.23,51.01,47.62,49.19,63.45
ST10348,47.39,44.22,47.14,32.38,42.79,42.61
ST10349,53.48,60.95,61.07,65.95,63.91,54.41
ST10350,55.04,52.68,39.85,42.17,52.73,50.52
ST10351,59.67,59.28,42.41,59.24,57.0,63.56
ST10352,68.28,57.81,69.53,50.7,53.19,61.24
ST10353,49.59,52.0,66.12,52.32,52.66,42.22
ST10354,54.2,56.82,68.87,64.46,60.61,70.81
ST10355,75.43,63.45,65.21,59.9,54.97,59.77
ST10356,54.79,54.9,70.29,71.01,54.86,61.14
ST10357,53.05,66.4,47.22,62.46,60.62,49.11
ST10358,64.46,55.98,58.28,50.2,70.3,72.57
ST10359,32.9,64.91,51.1,51.81,38.42,63.77
ST10360,68.41,69.31,72.75,77.21,55.02,60.54
ST10361,45.52,57.58,54.08,59.04,59.32,39.6
ST10362,66.57,63.37,53.81,57.91,54.77,63.69
ST10363,57.83,61.78,60.9,53.97,60.76,79.08
ST10364,43.69,47.18,44.83,43.11,55.7,57.9
ST10365,52.08,60.33,59.47,49.66,39.85,61.76
ST10366,66.81,63.78,62.36,68.58,67.06,60.73
ST10367,33.76,52.1,49.4,44.86,22.3,46.26
ST10368,62.86,58.22,69.83,67.26,66.6,69.85
ST10369,58.69,60.67,66.37,57.87,69.93,58.67
ST10370,55.75,37.91,63.42,62.63,44.6,57.53
ST10371,62.24,65.74,60.41,58.93,29.38,57.49
ST10372,48.74,57.15,47.8,54.54,42.88,46.81
ST10373,71.2,43.05,63.87,58.17,73.65,61.54
ST10374,55.32,58.56,40.25,48.94,47.74,61.76
ST10375,75.87,62.95,61.48,80.04,64.27,53.87
ST10376,33.3,49.06,36.35,61.3,38.06,48.56
ST10377,56.54,49.43,38.35,55.98,49.24,59.2
ST10378,48.86,49.56,60.65,42.35,45.43,33.39
ST10379,52.32,57.16,51.01,56.63,52.46,46.46
ST10380,61.96,57.82,61.45,53.36,54.22,63.73
ST10381,55.75,71.39,64.98,61.5,56.17,44.38
ST10382,44.4,45.68,49.66,49.56,56.11,56.04
ST10383,71.43,59.14,65.12,63.07,64.04,70.58
ST10384,59.55,42.56,53.2,51.99,70.33,53.48
ST10385,52.02,59.97,62.38,55.31,56.36,63.49
ST10386,42.85,46.95,46.5,58.52,51.96,44.16
ST10387,43.71,66.42,61.09,58.0,51.53,66.5
ST10388,65.19,76.18,69.81,67.92,76.99,68.76
ST10389,63.32,60.9,52.46,69.47,58.32,78.23
ST10390,50.21,62.99,39.04,58.1,60.42,65.94
ST10391,34.03,40.63,51.86,46.59,48.6,46.37
ST10392,77.87,82.43,66.29,73.28,62.01,73.84
ST10393,54.64,39.47,44.1,37.92,69.56,56.09
ST10394,59.17,56.61,68.97,67.58,67.92,56.93
ST10395,63.53,55.59,52.15,58.14,58.0,58.27
ST10396,53.09,54.99,61.66,40.68,53.71,57.66
ST10397,57.76,53.61,54.63,74.29,53.48,58.25
ST10398,62.97,53.72,52.44,73.16,63.71,57.15
ST10399,59.26,64.82,62.08,60.78,55.72,64.3
ST10400,50.45,54.45,47.74,43.12,36.89,54.6
ST10401,58.82,51.91,42.04,39.74,47.3,62.4
ST10402,70.94,50.25,69.03,66.16,58.02,71.97
ST10403,67.82,64.97,60.07,70.53,51.54,56.17
ST10404,51.77,54.57,45.09,51.36,66.0,48.64
ST10405,45.1,45.74,78.03,58.91,53.57,59.28
ST10406,65.09,57.01,59.87,59.23,57.42,57.32
ST10407,55.92,45.11,74.97,58.87,42.93,36.27
ST10408,47.95,58.93,58.37,51.45,48.64,49.22
ST10409,55.88,51.0,56.91,70.08,52.93,66.99
ST10410,61.24,46.34,49.99,61.45,48.42,52.44
ST10411,71.63,63.15,56.99,61.87,54.86,66.45
ST10412,49.08,60.43,48.8,61.69,60.75,71.29
ST10413,68.84,58.17,61.01,63.9,58.85,60.6
ST10414,67.27,45.74,53.24,59.53,77.64,59.24
ST10415,74.25,69.7,72.17,67.11,67.88,51.72
ST10416,55.61,45.59,54.28,55.03,52.56,55.98
ST10417,48.4,55.4,49.87,69.3,56.46,71.71
ST10418,51.18,45.64,58.03,45.66,45.54,55.67
ST10419,56.48,50.4,49.11,67.33,37.72,40.54
ST10420,68.49,76.08,60.88,78.51,56.4,63.5
ST10421,54.66,39.56,46.27,60.4,58.15,31.7
ST10422,49.27,46.92,49.69,43.98,37.5,63.17
ST10423,64.28,54.18,52.1,48.52,34.32,60.84
ST10424,54.01,48.87,48.07,47.97,40.94,46.77
ST10425,65.76,65.33,73.41,67.38,51.4,62.04
ST10426,80.53,53.8,71.66,78.47,58.58,57.85
ST10427,66.5,64.72,68.46,79.56,63.23,55.36
ST10428,57.5,56.73,65.91,52.46,53.17,43.07
ST10429,58.83,81.23,53.67,57.51,50.06,47.2
ST10430,63.06,59.81,41.5,73.08,62.91,63.18
ST10431,45.21,51.82,53.19,51.19,57.13,61.94
ST10432,69.58,43.85,50.54,61.72,44.32,47.61
ST10433,62.85,66.26,70.26,56.32,62.76,63.99
ST10434,66.25,52.62,56.54,72.15,52.48,46.93
ST10435,62.12,70.53,42.78,57.04,66.07,44.76
ST10436,59.12,51.71,53.77,56.21,51.84,54.18
ST10437,55.64,66.81,58.3,64.06,55.37,45.42
ST10438,56.38,59.89,60.0,52.76,56.84,70.91
ST10439,56.5,47.26,50.19,39.3,68.56,65.62
ST10440,49.5,66.29,54.9,43.96,56.09,55.03
ST10441,74.82,57.37,63.28,77.86,79.8,77.27
ST10442,79.58,66.09,67.6,53.74,58.98,45.14
ST10443,57.61,43.71,69.83,62.68,43.97,61.66
ST10444,64.76,48.01,42.03,31.95,34.98,56.3
ST10445,46.22,46.89,47.26,47.43,39.88,55.22
ST10446,41.13,46.47,61.6,54.9,58.0,72.72
ST10447,67.73,66.3,66.3,61.6,60.07,65.82
ST10448,55.4,55.85,54.08,59.9,52.8,52.29
ST10449,54.98,41.15,67.76,58.35,46.13,52.2
ST10450,45.29,60.62,45.89,70.22,48.03,66.97
ST10451,63.65,59.39,70.12,65.6,61.57,78.04
ST10452,58.34,52.86,57.09,72.85,70.98,54.63
ST10453,37.33,50.37,46.72,46.86,45.43,37.94
ST10454,67.7,47.16,64.93,49.64,43.58,59.7
ST10455,42.79,42.08,46.55,36.03,33.18,42.12
ST10456,55.79,40.73,50.12,58.09,47.41,46.73
ST10457,56.43,49.27,49.09,45.13,57.62,59.11
ST10458,58.91,49.44,62.22,54.24,53.04,28.76
ST10459,53.99,47.06,64.1,57.47,51.2,59.14
ST10460,35.38,38.42,42.09,50.63,57.97,45.08
ST10461,57.96,47.76,50.27,45.81,45.81,53.9
ST10462,64.95,51.95,58.52,73.05,60.45,64.32
ST10463,55.39,42.04,46.78,52.41,55.97,30.13
ST10464,54.29,50.46,58.58,49.06,63.09,57.82
ST10465,58.77,59.28,58.09,47.64,52.49,50.97
ST10466,48.78,63.01,57.75,43.32,61.1,53.54
ST10467,28.3,33.79,40.17,45.67,51.08,53.81
ST10468,56.68,51.58,66.63,57.15,53.63,59.39
ST10469,53.7,56.43,41.23,52.41,70.97,61.07
ST10470,46.79,53.92,49.79,37.85,46.12,39.85
ST10471,74.01,59.21,76.41,71.85,59.31,67.01
ST10472,58.55,45.96,52.45,55.57,66.33,38.39
ST10473,58.31,50.32,50.44,46.26,50.48,61.36
ST10474,56.48,74.04,66.77,61.56,59.45,73.29
ST10475,71.31,47.01,55.38,69.11,63.79,55.89
ST10476,39.56,46.13,58.31,44.87,35.39,49.38
ST10477,66.79,58.61,70.12,65.24,59.88,58.66
ST10478,52.2,71.56,62.79,58.89,60.24,65.75
ST10479,41.48,42.63,51.09,43.87,53.19,48.79
