StudentID,AptitudeScore,InterviewScore,ResumeScore,InternshipCount,HackathonCount,PlacementStatus
ST10086,56.25,44.82,41.95,0,1,Placed
ST10087,59.39,51.29,33.31,1,0,Not Placed
ST10088,76.7,61.05,42.42,1,0,Not Placed
ST10089,65.15,37.83,41.05,1,1,Not Placed
ST10090,53.77,34.8,30.93,0,0,Not Placed
ST10091,45.18,35.58,42.05,0,4,Not Placed
ST10092,49.67,26.37,38.04,0,1,Not Placed
ST10093,54.16,47.51,24.28,0,0,Not Placed
ST10094,59.61,51.36,38.83,1,0,Not Placed
ST10095,67.27,23.84,41.29,0,0,Not Placed
ST10096,47.17,57.41,36.8,1,0,Placed
ST10097,71.23,49.61,59.18,2,1,Placed
ST10098,74.46,34.03,48.59,0,0,Not Placed
ST10099,56.39,56.98,37.5,0,1,Placed
ST10100,48.35,64.73,59.12,2,1,Not Placed
ST10101,73.75,46.27,29.5,0,1,Placed
ST10102,76.12,50.34,32.51,0,1,Not Placed
ST10103,56.84,65.22,44.46,0,2,Not Placed
ST10104,56.19,46.69,43.79,1,1,Not Placed
ST10105,53.73,35.35,36.01,1,1,Not Placed
ST10106,78.52,62.06,48.27,2,1,Placed
ST10107,52.61,28.22,54.31,0,1,Not Placed
ST10108,71.61,55.56,44.72,1,0,Placed
ST10109,53.71,38.5,25.43,0,0,Not Placed
ST10110,40.9,27.82,46.35,0,3,Placed
ST10111,70.45,59.07,53.33,1,1,Placed
ST10112,57.08,39.65,47.65,0,0,Not Placed
ST10113,57.08,41.33,36.9,0,0,Placed
ST10114,60.86,52.51,47.97,1,0,Not Placed
ST10115,63.34,50.21,52.36,1,4,Not Placed
ST10116,49.84,45.78,66.62,3,2,Placed
ST10117,49.35,36.38,33.35,0,0,Not Placed
ST10118,64.88,37.76,35.77,0,0,Not Placed
ST10119,53.16,43.79,35.51,0,0,Placed
ST10120,47.41,58.57,41.75,1,2,Not Placed
ST10121,45.45,39.42,40.87,0,0,Not Placed
ST10122,63.45,46.09,38.81,0,0,Not Placed
ST10123,64.8,53.28,37.07,1,0,Not Placed
ST10124,48.58,33.1,29.23,0,2,Not Placed
ST10125,80.94,60.47,39.86,1,0,Not Placed
ST10126,73.24,34.66,36.45,0,0,Not Placed
ST10127,59.55,29.39,41.11,1,3,Not Placed
ST10128,72.64,79.56,63.07,0,2,Placed
ST10129,50.84,28.96,28.79,0,0,Not Placed
ST10130,75.74,73.24,70.64,2,2,Placed
ST10131,41.65,36.34,53.38,1,1,Not Placed
ST10132,45.95,47.26,47.38,1,2,Placed
ST10133,57.81,47.37,36.06,0,0,Not Placed
ST10134,67.3,36.94,52.88,0,1,Not Placed
ST10135,42.85,57.92,42.94,1,2,Not Placed
ST10136,67.55,33.17,33.69,0,0,Placed
ST10137,60.89,43.42,47.32,2,1,Not Placed
ST10138,80.38,66.42,34.08,1,0,Placed
ST10139,63.87,75.41,54.29,2,0,Placed
ST10140,43.07,73.66,60.57,2,2,Placed
ST10141,57.12,39.25,52.74,0,2,Placed
ST10142,48.52,39.99,37.11,0,1,Not Placed
ST10143,70.0,73.07,36.32,0,2,Not Placed
ST10144,62.59,46.97,44.56,1,2,Not Placed
ST10145,62.83,55.68,49.86,1,3,Not Placed
ST10146,56.38,47.46,57.81,2,1,Placed
ST10147,54.03,39.44,46.59,1,0,Not Placed
ST10148,67.01,36.45,32.35,0,0,Not Placed
ST10149,58.44,46.82,43.14,0,1,Not Placed
ST10150,62.43,51.06,51.21,1,2,Not Placed
ST10151,60.57,52.05,37.92,0,1,Not Placed
ST10152,44.34,53.0,69.8,3,2,Placed
ST10153,60.94,42.24,46.84,0,1,Placed
ST10154,45.64,60.86,44.5,0,2,Not Placed
ST10155,59.07,39.17,53.39,2,0,Not Placed
ST10156,54.21,51.58,33.92,0,1,Not Placed
ST10157,52.48,29.87,38.35,0,0,Not Placed
ST10158,36.33,41.5,42.98,0,1,Not Placed
ST10159,55.52,37.69,43.62,1,0,Not Placed
ST10160,65.93,44.19,38.08,0,1,Not Placed
ST10161,53.91,53.42,37.07,0,1,Not Placed
ST10162,45.59,41.86,52.25,2,0,Not Placed
ST10163,54.4,52.61,44.94,2,0,Not Placed
ST10164,63.96,22.31,45.36,1,1,Not Placed
ST10165,50.47,48.5,61.87,2,1,Not Placed
ST10166,53.82,59.26,36.06,0,1,Placed
ST10167,40.39,53.17,30.5,1,0,Not Placed
ST10168,70.43,42.29,36.8,1,0,Not Placed
ST10169,47.64,54.4,43.51,1,0,Placed
ST10170,41.44,46.27,42.57,1,3,Not Placed
ST10171,62.39,36.62,47.07,0,0,Not Placed
ST10172,71.61,60.84,51.19,1,0,Placed
ST10173,58.4,40.26,52.42,2,1,Placed
ST10174,64.29,34.11,32.56,0,1,Not Placed
ST10175,54.85,46.95,33.48,0,0,Not Placed
ST10176,57.59,53.23,28.73,0,0,Not Placed
ST10177,53.11,53.91,46.01,0,1,Not Placed
ST10178,54.54,46.87,51.04,0,2,Placed
ST10179,41.33,45.45,25.46,1,1,Not Placed
ST10180,39.98,43.92,64.09,2,2,Not Placed
ST10181,49.29,50.3,51.79,1,1,Placed
ST10182,53.94,35.86,37.17,0,1,Not Placed
ST10183,59.84,45.68,36.13,0,2,Placed
ST10184,56.92,52.23,46.01,0,0,Placed
ST10185,55.54,54.53,46.32,3,0,Not Placed
ST10186,60.35,42.51,41.91,1,0,Not Placed
ST10187,67.41,60.75,46.61,1,0,Placed
ST10188,58.42,33.26,30.29,0,2,Not Placed
ST10189,46.83,52.34,52.77,1,0,Not Placed
ST10190,74.53,40.08,34.55,1,0,Placed
ST10191,63.71,60.8,40.56,1,1,Placed
ST10192,57.09,54.04,53.42,1,0,Not Placed
ST10193,52.4,55.88,36.55,0,1,Not Placed
ST10194,48.47,49.49,46.75,1,1,Not Placed
ST10195,58.5,48.46,43.22,0,0,Placed
ST10196,54.61,50.31,36.35,0,0,Not Placed
ST10197,66.14,54.06,58.12,2,2,Not Placed
ST10198,61.54,41.34,35.55,0,0,Not Placed
ST10199,54.7,48.27,39.37,0,0,Not Placed
ST10200,63.14,43.33,31.21,1,0,Not Placed
ST10201,62.61,54.17,46.85,0,1,Placed
ST10202,62.38,56.57,27.93,0,0,Not Placed
ST10203,33.91,35.1,47.56,1,1,Not Placed
ST10204,48.31,52.87,48.32,0,4,Not Placed
ST10205,51.61,55.43,26.55,0,2,Not Placed
ST10206,59.99,74.9,70.25,3,0,Placed
ST10207,68.05,65.57,43.3,1,0,Placed
ST10208,54.38,36.97,49.08,2,0,Not Placed
ST10209,53.72,53.22,40.36,1,1,Placed
ST10210,55.46,76.26,54.41,2,1,Not Placed
ST10211,29.78,28.4,30.98,0,0,Not Placed
ST10212,47.51,48.36,39.39,0,0,Not Placed
ST10213,65.64,67.49,69.47,2,4,Placed
ST10214,59.84,54.81,49.59,1,0,Placed
ST10215,54.69,43.95,52.79,1,0,Not Placed
ST10216,54.41,59.98,38.14,1,2,Not Placed
ST10217,42.37,38.35,35.85,1,0,Not Placed
ST10218,73.35,39.84,41.07,0,0,Not Placed
ST10219,47.65,53.72,49.47,1,0,Not Placed
ST10220,60.44,41.24,37.55,1,0,Not Placed
ST10221,50.43,26.72,49.28,1,0,Placed
ST10222,44.02,45.47,65.14,2,0,Not Placed
ST10223,46.32,57.9,47.07,2,0,Placed
ST10224,47.44,43.75,37.67,1,3,Not Placed
ST10225,36.89,47.95,41.43,0,1,Not Placed
ST10226,57.46,43.29,31.32,0,1,Not Placed
ST10227,55.68,53.58,44.63,3,1,Not Placed
ST10228,59.83,59.62,55.76,2,3,Not Placed
ST10229,51.86,41.45,32.62,1,0,Not Placed
ST10230,63.57,40.5,48.09,1,1,Placed
ST10231,48.25,53.23,45.29,0,0,Placed
ST10232,62.82,59.6,58.95,2,2,Placed
ST10233,59.94,17.43,30.81,0,0,Placed
ST10234,56.64,42.59,43.8,0,0,Not Placed
ST10235,58.87,28.43,32.31,0,0,Not Placed
ST10236,68.12,40.41,57.59,1,0,Not Placed
ST10237,62.28,45.07,31.76,0,0,Not Placed
ST10238,45.42,54.48,38.89,0,2,Not Placed
ST10239,52.3,50.78,33.36,0,1,Not Placed
ST10240,63.46,39.15,58.35,1,0,Not Placed
ST10241,75.11,67.37,32.06,1,0,Placed
ST10242,53.07,44.24,63.75,2,4,Placed
ST10243,42.81,31.76,28.2,0,0,Not Placed
ST10244,44.94,57.17,30.79,0,1,Placed
ST10245,48.45,35.92,36.92,0,1,Not Placed
ST10246,49.54,50.15,42.76,0,1,Not Placed
ST10247,46.07,46.44,47.18,0,1,Not Placed
ST10248,65.31,48.33,41.24,2,1,Placed
ST10249,67.73,55.12,40.18,0,1,Placed
ST10250,68.54,65.62,50.69,1,1,Not Placed
ST10251,52.03,39.15,30.52,0,0,Not Placed
ST10252,53.12,53.62,36.06,0,1,Not Placed
ST10253,53.55,44.16,44.26,0,0,Not Placed
ST10254,43.11,39.81,37.75,0,2,Not Placed
ST10255,56.65,37.99,37.55,0,1,Not Placed
ST10256,60.24,43.1,40.56,0,3,Not Placed
ST10257,65.78,53.72,51.15,0,2,Not Placed
ST10258,53.1,66.77,50.75,1,0,Not Placed
ST10259,48.75,39.1,48.86,3,0,Placed
ST10260,48.64,45.47,50.77,2,3,Not Placed
ST10261,60.36,40.15,42.84,0,1,Placed
ST10262,50.24,67.03,49.67,1,1,Not Placed
ST10263,58.21,48.43,43.48,0,1,Not Placed
ST10264,62.67,50.16,62.39,3,0,Placed
ST10265,45.27,29.53,33.36,0,0,Not Placed
ST10266,57.95,50.39,41.63,0,0,Not Placed
ST10267,64.58,54.54,32.36,0,0,Not Placed
ST10268,58.31,39.8,26.96,0,2,Not Placed
ST10269,64.07,40.48,42.76,1,0,Not Placed
ST10270,53.01,36.96,30.06,0,0,Not Placed
ST10271,59.02,52.19,49.49,2,2,Placed
ST10272,43.9,47.97,31.32,0,0,Placed
ST10273,60.54,51.67,41.96,0,2,Not Placed
ST10274,72.78,55.78,45.97,0,0,Placed
ST10275,50.19,63.29,17.96,0,0,Not Placed
ST10276,46.17,52.31,61.46,3,3,Placed
ST10277,59.36,47.52,45.7,1,1,Placed
ST10278,55.42,47.09,50.03,0,1,Not Placed
ST10279,57.34,53.12,45.05,0,0,Not Placed
ST10280,46.83,35.85,33.16,0,0,Not Placed
ST10281,74.12,58.04,34.24,0,0,Not Placed
ST10282,69.91,43.5,49.67,1,0,Not Placed
ST10283,70.35,73.87,58.57,1,3,Placed
ST10284,56.39,37.06,43.17,1,2,Not Placed
ST10285,58.38,61.92,43.85,0,2,Not Placed
ST10286,49.15,49.13,37.74,1,0,Not Placed
ST10287,61.92,51.03,43.84,0,2,Placed
ST10288,55.23,36.97,52.39,1,1,Not Placed
ST10289,38.24,37.65,50.88,0,1,Not Placed
ST10290,68.01,47.35,35.11,0,1,Placed
ST10291,50.48,45.57,59.37,2,1,Placed
ST10292,56.42,64.41,59.27,3,1,Not Placed
ST10293,58.44,52.03,52.68,1,1,Not Placed
ST10294,39.89,52.1,52.4,2,2,Not Placed
ST10295,54.15,58.43,35.05,1,1,Not Placed
ST10296,59.04,61.3,65.47,2,4,Placed
ST10297,42.89,38.5,65.42,1,3,Not Placed
ST10298,57.05,58.69,37.43,1,0,Placed
ST10299,48.15,51.95,24.81,0,2,Not Placed
ST10300,59.26,67.6,56.13,2,0,Placed
ST10301,65.61,40.56,27.87,0,0,Not Placed
ST10302,51.13,33.31,33.82,0,0,Not Placed
ST10303,65.27,63.61,40.69,1,1,Placed
ST10304,67.99,36.91,55.24,1,3,Not Placed
ST10305,53.35,35.06,55.15,1,3,Placed
ST10306,64.84,33.65,56.01,0,0,Placed
ST10307,54.22,49.54,49.97,1,1,Placed
ST10308,61.61,32.9,44.29,1,0,Not Placed
ST10309,47.9,66.05,56.36,3,0,Not Placed
ST10310,61.59,55.4,58.87,1,3,Placed
ST10311,48.26,39.79,48.38,0,1,Not Placed
ST10312,64.23,33.92,45.38,0,0,Placed
ST10313,56.26,57.06,33.2,1,0,Not Placed
ST10314,51.41,43.9,47.92,1,2,Placed
ST10315,67.24,58.56,55.7,3,0,Placed
ST10316,43.97,58.12,47.02,2,0,Not Placed
ST10317,59.83,39.87,52.29,2,0,Placed
ST10318,39.9,67.74,54.88,3,0,Placed
ST10319,65.25,38.69,33.25,0,0,Not Placed
ST10320,36.02,46.87,40.95,0,0,Placed
ST10321,72.51,73.92,73.35,3,1,Placed
ST10322,35.95,42.26,40.53,1,0,Not Placed
ST10323,62.69,49.61,51.93,0,0,Not Placed
ST10324,79.82,47.14,57.08,2,1,Not Placed
ST10325,39.75,40.44,49.55,0,1,Not Placed
ST10326,63.4,50.16,49.31,0,3,Placed
ST10327,64.9,56.24,54.58,1,1,Placed
ST10328,67.48,33.36,38.55,0,2,Not Placed
ST10329,62.06,65.03,54.76,1,1,Not Placed
ST10330,48.8,55.29,50.48,1,0,Placed
ST10331,60.07,36.2,36.83,0,1,Placed
ST10332,55.17,63.79,56.35,2,0,Placed
ST10333,53.87,31.7,36.11,0,1,Not Placed
ST10334,69.0,60.83,54.98,2,0,Not Placed
ST10335,48.96,34.7,30.5,0,0,Not Placed
ST10336,47.37,54.56,67.43,3,2,Placed
ST10337,51.83,59.1,38.64,1,1,Not Placed
ST10338,55.84,43.15,43.27,0,2,Not Placed
ST10339,37.3,49.93,41.01,0,1,Not Placed
ST10340,54.53,55.39,49.14,0,3,Not Placed
ST10341,71.29,47.37,56.86,1,0,Not Placed
ST10342,69.77,40.33,42.35,1,1,Placed
ST10343,42.9,37.75,44.48,1,0,Placed
ST10344,48.14,59.32,56.78,1,3,Not Placed
ST10345,49.7,48.17,40.39,0,1,Not Placed
ST10346,51.81,72.78,47.61,2,0,Not Placed
ST10347,38.66,58.8,38.21,0,0,Placed
ST10348,69.45,41.36,53.34,0,3,Not Placed
ST10349,58.56,41.16,50.21,1,3,Not Placed
ST10350,53.56,46.49,51.28,1,1,Not Placed
ST10351,63.16,64.95,69.43,2,1,Placed
ST10352,72.16,43.52,54.51,2,0,Not Placed
ST10353,63.73,65.31,54.11,3,2,Placed
ST10354,63.96,68.43,38.8,0,3,Not Placed
ST10355,51.17,41.61,40.32,1,0,Not Placed
ST10356,67.24,59.75,45.77,2,0,Placed
ST10357,65.0,44.67,36.88,1,1,Not Placed
ST10358,54.39,55.18,30.28,0,0,Placed
ST10359,45.1,57.33,45.89,1,1,Not Placed
ST10360,63.02,60.71,54.62,2,0,Placed
ST10361,37.1,34.33,38.61,0,3,Not Placed
ST10362,59.49,53.89,36.16,1,0,Not Placed
ST10363,67.75,45.74,41.29,0,0,Not Placed
ST10364,60.49,68.88,48.88,2,0,Placed
ST10365,47.66,49.3,53.94,1,1,Not Placed
ST10366,54.71,53.62,62.84,1,2,Placed
ST10367,46.62,39.55,38.42,0,0,Not Placed
ST10368,65.18,59.23,43.31,1,0,Not Placed
ST10369,58.94,33.28,46.89,0,1,Not Placed
ST10370,47.88,38.79,45.38,1,0,Not Placed
ST10371,57.48,41.95,46.27,0,0,Not Placed
ST10372,43.67,46.11,48.51,1,1,Not Placed
ST10373,58.81,46.24,46.33,1,0,Not Placed
ST10374,61.66,56.72,35.68,0,1,Placed
ST10375,69.46,50.33,59.58,1,3,Not Placed
ST10376,52.4,48.45,42.98,2,0,Not Placed
ST10377,46.72,40.29,39.73,0,1,Not Placed
ST10378,52.42,46.29,41.44,1,0,Not Placed
ST10379,51.89,30.52,43.44,0,2,Not Placed
ST10380,66.02,61.68,49.74,1,0,Not Placed
ST10381,67.86,36.07,21.66,0,1,Not Placed
ST10382,56.79,47.87,36.27,1,0,Not Placed
ST10383,57.71,45.8,22.32,0,0,Not Placed
ST10384,55.22,45.73,27.15,0,0,Not Placed
ST10385,38.9,58.69,41.67,0,1,Not Placed
ST10386,54.01,40.65,33.25,0,0,Not Placed
ST10387,53.8,57.33,41.76,0,0,Placed
ST10388,55.42,63.27,57.2,1,1,Placed
ST10389,57.19,61.32,47.49,1,2,Placed
ST10390,52.71,54.34,42.32,1,0,Not Placed
ST10391,53.61,37.74,47.38,2,0,Not Placed
ST10392,71.97,59.95,55.35,1,0,Placed
ST10393,49.86,48.87,37.18,0,2,Not Placed
ST10394,60.01,57.38,44.12,1,2,Placed
ST10395,59.83,55.05,31.55,0,0,Not Placed
ST10396,47.39,45.54,50.79,0,3,Not Placed
ST10397,55.63,47.96,49.72,1,0,Placed
ST10398,64.27,46.72,53.87,1,0,Not Placed
ST10399,52.41,46.21,50.27,0,1,Not Placed
ST10400,58.88,50.76,62.34,1,1,Not Placed
ST10401,50.45,45.92,37.59,1,1,Not Placed
ST10402,58.68,48.08,43.9,1,0,Placed
ST10403,72.04,44.74,40.72,0,0,Placed
ST10404,57.31,51.68,31.09,0,1,Not Placed
ST10405,55.01,55.82,54.19,3,1,Placed
ST10406,62.24,40.58,42.82,0,1,Not Placed
ST10407,57.1,42.76,40.71,1,3,Not Placed
ST10408,54.24,43.27,31.84,0,1,Not Placed
ST10409,51.73,45.71,58.39,0,4,Not Placed
ST10410,63.02,59.63,37.41,1,1,Not Placed
ST10411,57.51,40.15,32.34,0,1,Not Placed
ST10412,50.15,51.55,36.59,0,0,Placed
ST10413,80.91,49.34,50.4,1,0,Placed
ST10414,50.35,51.23,41.69,0,0,Not Placed
ST10415,70.05,43.99,37.33,0,1,Not Placed
ST10416,76.71,50.18,45.87,2,1,Placed
ST10417,52.45,59.08,63.46,3,0,Placed
ST10418,46.29,35.28,30.19,0,0,Not Placed
ST10419,56.42,38.6,20.38,0,0,Not Placed
ST10420,62.0,53.25,54.61,0,3,Placed
ST10421,48.13,40.89,44.92,0,4,Placed
ST10422,46.25,50.16,51.71,2,0,Placed
ST10423,46.17,38.94,53.04,1,2,Not Placed
ST10424,57.11,37.36,30.49,0,1,Not Placed
ST10425,51.95,40.0,45.9,0,4,Not Placed
ST10426,57.81,45.37,45.5,0,0,Not Placed
ST10427,66.79,33.52,38.09,0,1,Not Placed
ST10428,68.92,53.65,48.29,0,2,Not Placed
ST10429,60.85,50.61,50.45,1,0,Placed
ST10430,62.08,48.88,49.37,0,3,Placed
ST10431,60.1,40.44,51.76,2,1,Not Placed
ST10432,54.73,25.56,44.79,0,2,Not Placed
ST10433,54.34,53.8,44.58,0,0,Not Placed
ST10434,59.14,46.15,44.01,0,2,Not Placed
ST10435,64.03,32.05,36.7,0,1,Placed
ST10436,49.15,30.54,44.96,0,1,Not Placed
ST10437,63.91,39.99,53.01,1,1,Placed
ST10438,59.27,48.68,25.97,0,0,Not Placed
ST10439,65.23,39.19,55.46,1,0,Placed
ST10440,67.99,33.66,50.0,0,3,Not Placed
ST10441,63.51,71.97,44.25,1,1,Not Placed
ST10442,58.84,48.51,50.44,3,1,Placed
ST10443,77.69,61.64,49.03,0,0,Placed
ST10444,63.82,44.41,54.23,2,3,Not Placed
ST10445,57.9,28.74,43.75,0,2,Placed
ST10446,47.21,47.42,46.0,1,3,Not Placed
ST10447,55.31,60.72,44.46,1,0,Placed
ST10448,48.45,45.83,47.47,1,0,Not Placed
ST10449,50.81,48.01,37.17,0,0,Not Placed
ST10450,31.96,60.14,47.33,1,3,Not Placed
ST10451,76.31,41.01,24.81,0,0,Not Placed
ST10452,48.4,53.26,44.0,1,0,Not Placed
ST10453,58.34,32.47,36.92,0,0,Not Placed
ST10454,67.55,51.54,54.77,1,2,Not Placed
ST10455,34.65,42.89,52.76,1,3,Not Placed
ST10456,54.17,38.86,44.7,1,1,Not Placed
ST10457,52.43,48.71,38.71,0,3,Placed
ST10458,58.98,22.48,61.05,2,2,Not Placed
ST10459,67.98,48.46,58.61,2,0,Placed
ST10460,61.81,40.07,37.49,1,1,Not Placed
ST10461,52.64,36.08,39.17,0,1,Placed
ST10462,47.41,57.5,44.07,0,0,Placed
ST10463,46.62,61.1,64.86,3,1,Placed
ST10464,59.29,45.69,46.13,1,1,Placed
ST10465,49.41,50.59,48.96,1,2,Not Placed
ST10466,53.19,34.71,46.43,1,0,Not Placed
ST10467,56.72,43.11,42.63,1,2,Not Placed
ST10468,49.78,49.83,41.11,0,2,Not Placed
ST10469,71.28,55.74,43.16,0,3,Not Placed
ST10470,63.54,22.46,45.08,0,2,Not Placed
ST10471,63.5,62.73,35.01,1,1,Placed
ST10472,48.66,33.14,50.0,1,0,Not Placed
ST10473,45.66,56.23,53.27,1,2,Not Placed
ST10474,55.76,55.15,52.03,1,0,Placed
ST10475,53.51,45.96,45.86,0,0,Not Placed
ST10476,48.97,27.82,33.56,0,0,Not Placed
ST10477,49.44,58.13,45.27,1,1,Not Placed
ST10478,76.76,61.78,62.07,2,1,Placed
ST10479,49.61,35.28,27.67,0,0,Not Placed
ST10480,73.99,55.32,35.53,0,0,Not Placed
ST10481,70.15,61.82,51.6,2,2,Not Placed
ST10482,60.95,48.88,47.13,2,0,Placed
ST10483,44.4,37.85,29.41,0,0,Not Placed
ST10484,64.73,52.34,41.15,0,1,Not Placed
ST10485,77.71,47.19,34.66,0,1,Not Placed
ST10486,60.35,53.46,46.06,0,2,Not Placed
ST10487,42.95,54.3,45.31,1,0,Not Placed
ST10488,46.67,59.46,44.18,1,2,Not Placed
ST10489,61.2,34.73,60.57,1,2,Not Placed
ST10490,55.75,57.34,54.58,1,0,Not Placed
ST10491,53.13,43.47,30.36,0,0,Not Placed
ST10492,53.43,52.29,51.72,2,2,Placed
ST10493,63.4,53.79,38.59,0,0,Not Placed
ST10494,42.47,49.77,29.36,0,1,Placed
ST10495,51.46,46.79,60.49,2,0,Placed
ST10496,60.37,49.62,42.73,0,2,Not Placed
ST10497,68.84,47.74,43.98,1,0,Not Placed
ST10498,52.48,56.42,40.73,1,1,Placed
ST10499,54.36,39.76,35.16,1,1,Not Placed
ST10500,55.57,40.52,47.18,0,0,Not Placed
ST10501,65.88,58.39,52.05,0,3,Not Placed
ST10502,71.9,43.77,46.44,2,0,Placed
ST10503,59.87,55.59,46.2,0,2,Placed
ST10504,60.42,54.15,44.97,1,0,Not Placed
ST10505,70.89,54.32,47.54,1,1,Placed
ST10506,72.85,53.52,33.71,0,0,Placed
ST10507,56.66,43.96,44.6,0,1,Not Placed
ST10508,46.95,40.06,47.46,0,4,Not Placed
ST10509,61.65,51.77,60.71,2,1,Not Placed
ST10510,66.99,57.59,48.38,1,0,Placed
ST10511,58.58,43.31,40.23,0,0,Not Placed
ST10512,42.88,42.77,24.71,0,0,Not Placed
ST10513,66.3,53.49,44.86,0,0,Placed
ST10514,57.09,50.07,40.49,1,0,Not Placed
ST10515,63.68,42.55,35.76,0,0,Not Placed
ST10516,57.13,61.4,41.02,0,2,Not Placed
ST10517,41.67,49.62,52.08,0,0,Not Placed
ST10518,39.83,60.03,28.96,0,1,Not Placed
ST10519,62.47,34.64,43.58,1,1,Not Placed
ST10520,64.7,63.09,53.38,0,2,Not Placed
ST10521,58.15,53.12,31.3,0,0,Not Placed
ST10522,68.1,46.23,33.58,1,0,Not Placed
ST10523,59.36,50.53,45.55,1,0,Not Placed
ST10524,48.28,45.51,33.35,1,2,Not Placed
ST10525,52.4,32.27,41.12,0,0,Not Placed
ST10526,63.55,61.44,52.91,0,4,Placed
ST10527,57.79,55.36,51.42,2,2,Not Placed
