StudentID,Semester,AttendancePercentage
ST10044,4,79.15
ST10045,1,91.76
ST10045,2,100.0
ST10045,3,64.93
ST10045,4,95.22
ST10046,1,79.55
ST10046,2,93.63
ST10046,3,89.36
ST10046,4,96.23
ST10047,1,90.68
ST10047,2,75.33
ST10047,3,100.0
ST10047,4,84.14
ST10048,1,81.03
ST10048,2,77.64
ST10048,3,88.0
ST10048,4,83.13
ST10049,1,71.64
ST10049,2,86.28
ST10049,3,88.07
ST10049,4,71.71
ST10050,1,73.38
ST10050,2,75.83
ST10050,3,68.63
ST10050,4,69.25
ST10051,1,73.08
ST10051,2,69.43
ST10051,3,67.69
ST10051,4,75.24
ST10052,1,78.84
ST10052,2,85.05
ST10052,3,95.6
ST10052,4,77.58
ST10053,1,78.37
ST10053,2,84.55
ST10053,3,74.2
ST10053,4,74.7
ST10054,1,84.83
ST10054,2,70.22
ST10054,3,71.45
ST10054,4,83.16
ST10055,1,90.99
ST10055,2,67.15
ST10055,3,88.9
ST10055,4,80.09
ST10056,1,64.46
ST10056,2,71.01
ST10056,3,79.62
ST10056,4,86.11
ST10057,1,84.76
ST10057,2,75.83
ST10057,3,70.62
ST10057,4,68.09
ST10058,1,75.98
ST10058,2,80.32
ST10058,3,78.78
ST10058,4,94.41
ST10059,1,90.76
ST10059,2,84.45
ST10059,3,80.37
ST10059,4,96.67
ST10060,1,86.4
ST10060,2,65.33
ST10060,3,64.22
ST10060,4,97.5
ST10061,1,74.17
ST10061,2,87.17
ST10061,3,96.49
ST10061,4,87.08
ST10062,1,74.75
ST10062,2,74.69
ST10062,3,67.43
ST10062,4,88.96
ST10063,1,88.16
ST10063,2,91.29
ST10063,3,79.4
ST10063,4,91.48
ST10064,1,73.31
ST10064,2,79.55
ST10064,3,81.28
ST10064,4,75.27
ST10065,1,81.48
ST10065,2,100.0
ST10065,3,87.94
ST10065,4,89.09
ST10066,1,71.05
ST10066,2,86.82
ST10066,3,86.66
ST10066,4,64.5
ST10067,1,87.82
ST10067,2,68.09
ST10067,3,74.93
ST10067,4,80.34
ST10068,1,85.01
ST10068,2,84.46
ST10068,3,82.08
ST10068,4,76.51
ST10069,1,97.08
ST10069,2,82.09
ST10069,3,87.88
ST10069,4,83.37
ST10070,1,77.61
ST10070,2,69.51
ST10070,3,72.86
ST10070,4,86.94
ST10071,1,82.37
ST10071,2,65.59
ST10071,3,87.65
ST10071,4,78.29
ST10072,1,72.44
ST10072,2,77.31
ST10072,3,100.0
ST10072,4,71.08
ST10073,1,87.19
ST10073,2,80.29
ST10073,3,78.9
ST10073,4,91.63
ST10074,1,82.94
ST10074,2,83.85
ST10074,3,70.19
ST10074,4,84.13
ST10075,1,80.92
ST10075,2,69.72
ST10075,3,87.39
ST10075,4,78.58
ST10076,1,77.53
ST10076,2,81.43
ST10076,3,89.65
ST10076,4,79.72
ST10077,1,87.32
ST10077,2,80.17
ST10077,3,85.51
ST10077,4,75.06
ST10078,1,87.4
ST10078,2,76.9
ST10078,3,77.35
ST10078,4,89.56
ST10079,1,88.0
ST10079,2,85.4
ST10079,3,85.31
ST10079,4,85.57
ST10080,1,77.18
ST10080,2,78.71
ST10080,3,87.01
ST10080,4,76.46
ST10081,1,63.28
ST10081,2,76.78
ST10081,3,85.65
ST10081,4,77.74
ST10082,1,89.82
ST10082,2,65.65
ST10082,3,54.72
ST10082,4,83.42
ST10083,1,82.01
ST10083,2,81.93
ST10083,3,100.0
ST10083,4,90.33
ST10084,1,88.03
ST10084,2,80.59
ST10084,3,68.77
ST10084,4,77.94
ST10085,1,80.14
ST10085,2,89.27
ST10085,3,76.96
ST10085,4,72.79
ST10086,1,73.29
ST10086,2,81.81
ST10086,3,72.34
ST10086,4,84.93
ST10087,1,81.54
ST10087,2,89.94
ST10087,3,78.09
ST10087,4,72.49
ST10088,1,73.57
ST10088,2,72.89
ST10088,3,81.93
ST10088,4,88.29
ST10089,1,66.58
ST10089,2,70.76
ST10089,3,88.88
ST10089,4,100.0
ST10090,1,76.11
ST10090,2,75.04
ST10090,3,70.77
ST10090,4,83.87
ST10091,1,70.26
ST10091,2,74.69
ST10091,3,65.71
ST10091,4,100.0
ST10092,1,79.02
ST10092,2,79.27
ST10092,3,70.61
ST10092,4,88.91
ST10093,1,66.42
ST10093,2,80.76
ST10093,3,82.89
ST10093,4,91.23
ST10094,1,75.08
ST10094,2,79.69
ST10094,3,73.6
ST10094,4,84.88
ST10095,1,86.08
ST10095,2,80.53
ST10095,3,65.84
ST10095,4,88.42
ST10096,1,81.55
ST10096,2,93.2
ST10096,3,76.84
ST10096,4,62.31
ST10097,1,100.0
ST10097,2,85.78
ST10097,3,82.6
ST10097,4,93.15
ST10098,1,90.48
ST10098,2,87.21
ST10098,3,85.53
ST10098,4,80.91
ST10099,1,90.54
ST10099,2,64.84
ST10099,3,82.01
ST10099,4,76.69
ST10100,1,87.49
ST10100,2,85.36
ST10100,3,77.14
ST10100,4,79.74
ST10101,1,72.62
ST10101,2,89.28
ST10101,3,88.98
ST10101,4,88.42
ST10102,1,87.4
ST10102,2,84.46
ST10102,3,89.31
ST10102,4,85.2
ST10103,1,74.8
ST10103,2,87.47
ST10103,3,91.12
ST10103,4,87.62
ST10104,1,72.11
ST10104,2,58.11
ST10104,3,73.75
ST10104,4,64.02
ST10105,1,73.67
ST10105,2,73.61
ST10105,3,68.85
ST10105,4,83.26
ST10106,1,94.05
ST10106,2,87.42
ST10106,3,90.46
ST10106,4,78.5
ST10107,1,74.68
ST10107,2,73.03
ST10107,3,53.28
ST10107,4,79.12
ST10108,1,67.51
ST10108,2,93.56
ST10108,3,89.03
ST10108,4,65.66
ST10109,1,86.54
ST10109,2,86.65
ST10109,3,80.25
ST10109,4,89.48
ST10110,1,77.28
ST10110,2,84.97
ST10110,3,79.08
ST10110,4,90.55
ST10111,1,82.07
ST10111,2,71.36
ST10111,3,83.01
ST10111,4,77.21
ST10112,1,76.61
ST10112,2,80.27
ST10112,3,71.27
ST10112,4,76.63
ST10113,1,94.03
ST10113,2,93.47
ST10113,3,97.88
ST10113,4,80.47
ST10114,1,89.72
ST10114,2,72.45
ST10114,3,89.74
ST10114,4,87.65
ST10115,1,78.29
ST10115,2,75.91
ST10115,3,81.4
ST10115,4,72.64
ST10116,1,92.55
ST10116,2,78.49
ST10116,3,80.26
ST10116,4,80.46
ST10117,1,76.19
ST10117,2,81.14
ST10117,3,83.36
ST10117,4,89.65
ST10118,1,92.14
ST10118,2,89.45
ST10118,3,78.42
ST10118,4,84.5
ST10119,1,96.04
ST10119,2,100.0
ST10119,3,68.67
ST10119,4,84.33
ST10120,1,88.16
ST10120,2,62.66
ST10120,3,81.2
ST10120,4,71.13
ST10121,1,68.44
ST10121,2,72.98
ST10121,3,87.61
ST10121,4,75.56
ST10122,1,80.56
ST10122,2,84.48
ST10122,3,84.8
ST10122,4,82.38
ST10123,1,95.63
ST10123,2,82.45
ST10123,3,98.66
ST10123,4,70.82
ST10124,1,71.29
ST10124,2,67.38
ST10124,3,68.46
ST10124,4,77.54
ST10125,1,94.46
ST10125,2,93.31
ST10125,3,70.25
ST10125,4,81.96
ST10126,1,71.8
ST10126,2,86.58
ST10126,3,74.45
ST10126,4,75.45
ST10127,1,91.6
ST10127,2,78.26
ST10127,3,74.25
ST10127,4,68.12
ST10128,1,80.95
ST10128,2,89.56
ST10128,3,90.37
ST10128,4,83.4
ST10129,1,87.43
ST10129,2,67.12
ST10129,3,82.99
ST10129,4,72.64
ST10130,1,100.0
ST10130,2,77.93
ST10130,3,90.66
ST10130,4,72.57
ST10131,1,67.93
ST10131,2,58.13
ST10131,3,74.65
ST10131,4,71.01
ST10132,1,70.81
ST10132,2,81.87
ST10132,3,80.46
ST10132,4,76.92
ST10133,1,78.1
ST10133,2,89.13
ST10133,3,87.07
ST10133,4,84.75
ST10134,1,87.09
ST10134,2,72.72
ST10134,3,80.8
ST10134,4,86.05
ST10135,1,71.22
ST10135,2,90.89
ST10135,3,68.62
ST10135,4,62.57
ST10136,1,90.73
ST10136,2,76.09
ST10136,3,78.27
ST10136,4,89.83
ST10137,1,83.36
ST10137,2,85.89
ST10137,3,87.09
ST10137,4,72.79
ST10138,1,72.89
ST10138,2,77.55
ST10138,3,93.24
ST10138,4,80.86
ST10139,1,97.37
ST10139,2,86.84
ST10139,3,93.23
ST10139,4,86.78
ST10140,1,75.33
ST10140,2,81.85
ST10140,3,93.06
ST10140,4,76.24
ST10141,1,76.58
ST10141,2,73.55
ST10141,3,97.77
ST10141,4,92.02
ST10142,1,86.22
ST10142,2,70.07
ST10142,3,94.87
ST10142,4,75.3
ST10143,1,66.99
ST10143,2,78.28
ST10143,3,88.97
ST10143,4,100.0
ST10144,1,84.04
ST10144,2,77.75
ST10144,3,86.86
ST10144,4,76.64
ST10145,1,94.08
ST10145,2,81.22
ST10145,3,85.64
ST10145,4,84.73
ST10146,1,83.13
ST10146,2,85.51
ST10146,3,100.0
ST10146,4,84.67
ST10147,1,79.98
ST10147,2,81.66
ST10147,3,72.62
ST10147,4,80.32
ST10148,1,66.15
ST10148,2,89.71
ST10148,3,83.97
ST10148,4,82.95
ST10149,1,69.25
ST10149,2,77.27
ST10149,3,84.88
ST10149,4,79.78
ST10150,1,85.88
ST10150,2,100.0
ST10150,3,92.63
ST10150,4,77.72
ST10151,1,74.99
ST10151,2,82.17
ST10151,3,84.77
ST10151,4,94.1
ST10152,1,86.07
ST10152,2,81.04
ST10152,3,92.67
ST10152,4,74.67
ST10153,1,75.72
ST10153,2,94.85
ST10153,3,65.58
ST10153,4,58.84
ST10154,1,81.36
ST10154,2,94.19
ST10154,3,89.11
ST10154,4,75.53
ST10155,1,80.93
ST10155,2,74.62
ST10155,3,72.85
ST10155,4,100.0
ST10156,1,75.88
ST10156,2,82.63
ST10156,3,79.95
ST10156,4,80.7
ST10157,1,84.13
ST10157,2,80.31
ST10157,3,87.23
ST10157,4,82.38
ST10158,1,86.86
ST10158,2,64.47
ST10158,3,66.49
ST10158,4,89.93
ST10159,1,91.99
ST10159,2,75.12
ST10159,3,73.11
ST10159,4,60.39
ST10160,1,79.14
ST10160,2,71.16
ST10160,3,73.99
ST10160,4,76.28
ST10161,1,73.84
ST10161,2,88.56
ST10161,3,85.63
ST10161,4,71.75
ST10162,1,68.91
ST10162,2,67.23
ST10162,3,79.37
ST10162,4,60.6
ST10163,1,76.87
ST10163,2,72.82
ST10163,3,77.54
ST10163,4,86.82
ST10164,1,77.44
ST10164,2,87.6
ST10164,3,68.51
ST10164,4,78.25
ST10165,1,85.69
ST10165,2,82.3
ST10165,3,86.99
ST10165,4,90.65
ST10166,1,76.19
ST10166,2,80.18
ST10166,3,76.94
ST10166,4,75.57
ST10167,1,83.53
ST10167,2,64.59
ST10167,3,81.56
ST10167,4,67.0
ST10168,1,80.74
ST10168,2,71.1
ST10168,3,81.49
ST10168,4,81.16
ST10169,1,66.89
ST10169,2,75.62
ST10169,3,81.75
ST10169,4,91.23
ST10170,1,84.76
ST10170,2,75.46
ST10170,3,72.23
ST10170,4,77.17
ST10171,1,79.48
ST10171,2,86.04
ST10171,3,83.8
ST10171,4,74.85
ST10172,1,91.36
ST10172,2,96.63
ST10172,3,82.2
ST10172,4,88.36
ST10173,1,56.73
ST10173,2,83.79
ST10173,3,77.27
ST10173,4,81.68
ST10174,1,66.52
ST10174,2,79.85
ST10174,3,67.66
ST10174,4,74.2
ST10175,1,89.29
ST10175,2,74.0
ST10175,3,87.03
ST10175,4,61.32
ST10176,1,84.65
ST10176,2,69.36
ST10176,3,93.9
ST10176,4,90.16
ST10177,1,79.95
ST10177,2,67.5
ST10177,3,77.18
ST10177,4,77.02
ST10178,1,92.33
ST10178,2,83.79
ST10178,3,74.93
ST10178,4,72.05
ST10179,1,78.93
ST10179,2,87.1
ST10179,3,68.58
ST10179,4,65.52
ST10180,1,67.75
ST10180,2,60.79
ST10180,3,78.55
ST10180,4,99.71
ST10181,1,69.47
ST10181,2,77.21
ST10181,3,95.25
ST10181,4,80.84
ST10182,1,72.96
ST10182,2,68.78
ST10182,3,72.1
ST10182,4,81.61
ST10183,1,78.15
ST10183,2,95.19
ST10183,3,76.24
ST10183,4,77.98
ST10184,1,71.36
ST10184,2,89.65
ST10184,3,88.02
ST10184,4,79.99
ST10185,1,69.59
ST10185,2,87.12
ST10185,3,72.68
ST10185,4,88.39
ST10186,1,70.96
ST10186,2,64.54
ST10186,3,83.14
ST10186,4,81.92
ST10187,1,80.2
ST10187,2,82.06
ST10187,3,73.27
ST10187,4,66.75
ST10188,1,81.14
ST10188,2,77.15
ST10188,3,83.51
ST10188,4,79.09
ST10189,1,78.38
ST10189,2,87.38
ST10189,3,94.77
ST10189,4,90.91
ST10190,1,90.77
ST10190,2,75.57
ST10190,3,75.96
ST10190,4,72.75
ST10191,1,69.93
ST10191,2,91.17
ST10191,3,87.09
ST10191,4,86.7
ST10192,1,88.22
ST10192,2,70.49
ST10192,3,83.16
ST10192,4,88.9
ST10193,1,79.08
ST10193,2,74.47
ST10193,3,91.18
ST10193,4,76.17
ST10194,1,79.76
ST10194,2,65.88
ST10194,3,88.75
ST10194,4,77.06
ST10195,1,81.84
ST10195,2,83.51
ST10195,3,70.75
ST10195,4,88.79
ST10196,1,82.14
ST10196,2,75.74
ST10196,3,88.8
ST10196,4,81.94
ST10197,1,86.59
ST10197,2,80.03
ST10197,3,86.17
ST10197,4,76.93
ST10198,1,90.87
ST10198,2,84.03
ST10198,3,93.28
ST10198,4,86.61
ST10199,1,73.94
ST10199,2,78.27
ST10199,3,75.31
ST10199,4,80.92
ST10200,1,79.43
ST10200,2,78.49
ST10200,3,72.27
ST10200,4,88.09
ST10201,1,81.98
ST10201,2,69.91
ST10201,3,80.31
ST10201,4,88.48
ST10202,1,67.24
ST10202,2,72.68
ST10202,3,77.59
ST10202,4,90.36
ST10203,1,89.01
ST10203,2,88.06
ST10203,3,81.39
ST10203,4,85.88
ST10204,1,61.65
ST10204,2,80.64
ST10204,3,81.6
ST10204,4,82.85
ST10205,1,70.04
ST10205,2,63.98
ST10205,3,70.55
ST10205,4,77.58
ST10206,1,70.94
ST10206,2,70.45
ST10206,3,92.8
ST10206,4,74.89
ST10207,1,97.7
ST10207,2,92.63
ST10207,3,71.82
ST10207,4,79.17
ST10208,1,86.01
ST10208,2,71.34
ST10208,3,67.94
ST10208,4,81.1
ST10209,1,79.33
ST10209,2,91.52
ST10209,3,89.65
ST10209,4,86.64
ST10210,1,72.84
ST10210,2,68.14
ST10210,3,83.72
ST10210,4,100.0
ST10211,1,83.18
ST10211,2,79.34
ST10211,3,82.21
ST10211,4,88.21
ST10212,1,69.76
ST10212,2,72.24
ST10212,3,95.71
ST10212,4,91.15
ST10213,1,91.95
ST10213,2,79.9
ST10213,3,83.6
ST10213,4,71.13
ST10214,1,72.52
ST10214,2,79.16
ST10214,3,88.81
ST10214,4,83.32
ST10215,1,86.67
ST10215,2,86.84
ST10215,3,92.95
ST10215,4,84.47
ST10216,1,73.37
ST10216,2,76.59
ST10216,3,62.4
ST10216,4,81.01
ST10217,1,90.48
ST10217,2,64.59
ST10217,3,80.97
ST10217,4,84.78
ST10218,1,76.77
ST10218,2,78.02
ST10218,3,78.47
ST10218,4,81.62
ST10219,1,65.73
ST10219,2,81.94
ST10219,3,82.47
ST10219,4,71.48
ST10220,1,75.13
ST10220,2,71.19
ST10220,3,75.67
ST10220,4,85.05
ST10221,1,91.09
ST10221,2,97.11
ST10221,3,87.83
ST10221,4,75.52
ST10222,1,74.88
ST10222,2,79.62
ST10222,3,71.97
ST10222,4,87.81
ST10223,1,100.0
ST10223,2,68.69
ST10223,3,71.64
ST10223,4,91.85
ST10224,1,76.12
ST10224,2,74.3
ST10224,3,90.63
ST10224,4,79.29
ST10225,1,91.48
ST10225,2,84.31
ST10225,3,64.51
ST10225,4,69.93
ST10226,1,79.49
ST10226,2,57.79
ST10226,3,86.53
ST10226,4,79.98
ST10227,1,79.72
ST10227,2,64.11
ST10227,3,70.56
ST10227,4,75.76
ST10228,1,86.51
ST10228,2,67.99
ST10228,3,85.86
ST10228,4,80.72
ST10229,1,77.41
ST10229,2,83.18
ST10229,3,70.65
ST10229,4,73.4
ST10230,1,84.95
ST10230,2,57.14
ST10230,3,77.15
ST10230,4,84.08
ST10231,1,73.09
ST10231,2,72.23
ST10231,3,95.06
ST10231,4,69.21
ST10232,1,81.51
ST10232,2,76.47
ST10232,3,82.66
ST10232,4,90.8
ST10233,1,79.17
ST10233,2,75.77
ST10233,3,91.85
ST10233,4,81.25
ST10234,1,87.45
ST10234,2,83.5
ST10234,3,88.2
ST10234,4,93.64
ST10235,1,87.41
ST10235,2,76.12
ST10235,3,85.59
ST10235,4,80.09
ST10236,1,91.54
ST10236,2,85.85
ST10236,3,83.31
ST10236,4,88.52
ST10237,1,82.09
ST10237,2,95.75
ST10237,3,80.68
ST10237,4,73.14
ST10238,1,86.46
ST10238,2,94.27
ST10238,3,72.91
ST10238,4,84.13
ST10239,1,93.35
ST10239,2,75.26
ST10239,3,63.09
ST10239,4,68.28
ST10240,1,68.97
ST10240,2,67.61
ST10240,3,67.85
ST10240,4,90.68
ST10241,1,79.48
ST10241,2,81.69
ST10241,3,71.9
ST10241,4,83.2
ST10242,1,66.75
ST10242,2,67.09
ST10242,3,100.0
ST10242,4,84.11
ST10243,1,91.47
ST10243,2,72.48
ST10243,3,73.73
ST10243,4,74.44
ST10244,1,89.73
ST10244,2,59.56
ST10244,3,80.82
ST10244,4,79.6
ST10245,1,63.26
ST10245,2,79.75
ST10245,3,72.85
ST10245,4,89.96
ST10246,1,75.69
ST10246,2,74.66
ST10246,3,88.99
ST10246,4,76.38
ST10247,1,84.94
ST10247,2,93.1
ST10247,3,99.22
ST10247,4,85.19
ST10248,1,75.39
ST10248,2,100.0
ST10248,3,72.02
ST10248,4,69.24
ST10249,1,78.03
ST10249,2,71.2
ST10249,3,92.71
ST10249,4,78.5
ST10250,1,90.25
ST10250,2,99.19
ST10250,3,89.19
ST10250,4,84.42
ST10251,1,77.07
ST10251,2,79.75
ST10251,3,81.35
ST10251,4,83.43
ST10252,1,80.08
ST10252,2,69.54
ST10252,3,90.56
ST10252,4,86.41
ST10253,1,71.17
ST10253,2,81.38
ST10253,3,78.23
ST10253,4,85.95
ST10254,1,86.01
ST10254,2,68.98
ST10254,3,81.6
ST10254,4,81.33
ST10255,1,69.94
ST10255,2,65.11
ST10255,3,90.23
ST10255,4,68.74
ST10256,1,79.03
ST10256,2,77.38
ST10256,3,94.21
ST10256,4,79.33
ST10257,1,81.07
ST10257,2,88.04
ST10257,3,81.32
ST10257,4,74.35
ST10258,1,78.05
ST10258,2,80.35
ST10258,3,73.1
ST10258,4,75.8
ST10259,1,79.3
ST10259,2,79.2
ST10259,3,69.39
ST10259,4,69.45
ST10260,1,69.04
ST10260,2,76.27
ST10260,3,88.45
ST10260,4,76.29
ST10261,1,83.95
ST10261,2,77.23
ST10261,3,94.71
ST10261,4,74.54
ST10262,1,69.99
ST10262,2,75.85
ST10262,3,98.77
ST10262,4,99.37
ST10263,1,94.74
ST10263,2,72.3
ST10263,3,83.63
ST10263,4,82.28
ST10264,1,76.93
ST10264,2,91.33
ST10264,3,79.67
ST10264,4,82.67
ST10265,1,73.09
ST10265,2,77.52
ST10265,3,81.9
ST10265,4,66.3
ST10266,1,92.1
ST10266,2,73.29
ST10266,3,79.77
ST10266,4,83.04
ST10267,1,76.92
ST10267,2,62.16
ST10267,3,89.4
ST10267,4,78.64
ST10268,1,72.97
ST10268,2,96.49
ST10268,3,83.22
ST10268,4,71.58
ST10269,1,73.62
ST10269,2,80.01
ST10269,3,75.71
ST10269,4,79.5
ST10270,1,71.21
ST10270,2,80.35
ST10270,3,88.32
ST10270,4,80.24
ST10271,1,80.9
ST10271,2,82.14
ST10271,3,78.68
ST10271,4,81.6
ST10272,1,89.44
ST10272,2,90.03
ST10272,3,84.12
ST10272,4,96.82
ST10273,1,76.49
ST10273,2,83.27
ST10273,3,69.0
ST10273,4,78.38
ST10274,1,87.96
ST10274,2,89.44
ST10274,3,80.84
ST10274,4,84.03
ST10275,1,77.39
ST10275,2,94.17
ST10275,3,68.17
ST10275,4,68.2
ST10276,1,75.83
ST10276,2,77.3
ST10276,3,80.9
ST10276,4,81.76
ST10277,1,56.24
ST10277,2,67.22
ST10277,3,70.36
ST10277,4,67.33
ST10278,1,100.0
ST10278,2,84.64
ST10278,3,88.06
ST10278,4,73.41
ST10279,1,89.57
ST10279,2,64.37
ST10279,3,86.61
ST10279,4,76.04
ST10280,1,81.05
ST10280,2,70.59
ST10280,3,93.63
ST10280,4,75.08
ST10281,1,73.7
ST10281,2,79.1
ST10281,3,91.53
ST10281,4,86.59
ST10282,1,85.77
ST10282,2,73.77
ST10282,3,85.45
ST10282,4,97.48
ST10283,1,79.2
ST10283,2,85.48
ST10283,3,100.0
ST10283,4,84.52
ST10284,1,86.08
ST10284,2,74.17
ST10284,3,85.49
ST10284,4,89.96
ST10285,1,86.24
ST10285,2,76.19
ST10285,3,87.7
ST10285,4,80.66
ST10286,1,73.04
ST10286,2,89.59
ST10286,3,93.27
ST10286,4,72.64
ST10287,1,71.48
ST10287,2,80.82
ST10287,3,90.05
ST10287,4,69.78
ST10288,1,83.67
ST10288,2,69.33
ST10288,3,92.01
ST10288,4,68.32
ST10289,1,86.97
ST10289,2,86.73
ST10289,3,58.9
ST10289,4,79.31
ST10290,1,71.3
ST10290,2,82.58
ST10290,3,79.6
ST10290,4,63.48
ST10291,1,66.68
ST10291,2,58.49
ST10291,3,100.0
ST10291,4,84.64
ST10292,1,71.59
ST10292,2,93.36
ST10292,3,80.16
ST10292,4,91.55
ST10293,1,90.61
ST10293,2,75.68
ST10293,3,92.5
ST10293,4,84.59
ST10294,1,80.42
ST10294,2,62.97
ST10294,3,78.41
ST10294,4,65.92
ST10295,1,85.61
ST10295,2,66.03
ST10295,3,92.59
ST10295,4,87.08
ST10296,1,80.49
ST10296,2,89.7
ST10296,3,68.49
ST10296,4,78.7
ST10297,1,82.29
ST10297,2,74.62
ST10297,3,79.67
ST10297,4,83.16
ST10298,1,89.43
ST10298,2,81.61
ST10298,3,56.69
ST10298,4,80.53
ST10299,1,73.67
ST10299,2,79.86
ST10299,3,66.33
ST10299,4,75.19
ST10300,1,82.53
ST10300,2,86.28
ST10300,3,70.09
ST10300,4,83.11
ST10301,1,78.57
ST10301,2,77.1
ST10301,3,76.36
ST10301,4,73.87
ST10302,1,84.31
ST10302,2,71.87
ST10302,3,78.22
ST10302,4,69.08
ST10303,1,68.15
ST10303,2,92.48
ST10303,3,93.78
ST10303,4,81.16
ST10304,1,83.24
ST10304,2,72.17
ST10304,3,100.0
ST10304,4,70.5
ST10305,1,81.31
ST10305,2,67.34
ST10305,3,67.29
ST10305,4,72.37
ST10306,1,69.25
ST10306,2,95.12
ST10306,3,100.0
ST10306,4,97.15
ST10307,1,70.18
ST10307,2,81.04
ST10307,3,94.98
ST10307,4,86.47
ST10308,1,66.06
ST10308,2,71.47
ST10308,3,93.76
ST10308,4,81.1
ST10309,1,67.37
ST10309,2,85.32
ST10309,3,79.82
ST10309,4,86.3
ST10310,1,81.16
ST10310,2,85.48
ST10310,3,76.68
ST10310,4,90.4
ST10311,1,96.96
ST10311,2,87.86
ST10311,3,73.64
ST10311,4,80.74
ST10312,1,92.65
ST10312,2,81.59
ST10312,3,63.98
ST10312,4,82.88
ST10313,1,73.74
ST10313,2,73.2
ST10313,3,94.46
ST10313,4,86.93
ST10314,1,77.27
ST10314,2,81.48
ST10314,3,81.23
ST10314,4,94.09
ST10315,1,59.66
ST10315,2,88.7
ST10315,3,92.14
ST10315,4,99.5
ST10316,1,60.59
ST10316,2,88.15
ST10316,3,89.16
ST10316,4,65.11
ST10317,1,88.88
ST10317,2,82.24
ST10317,3,70.48
ST10317,4,77.53
ST10318,1,80.79
